sample,round,spp,model,mpa,lfm,lfm.notes,fh,ttfg,gti,tti,fd,gd,pfg,ignition,start.temp,temp.max,ignition.temp,prop.new,sample.wt,glow,year,month ,dry.wt,fresh.wt,water.wt,site,bottle.wt,ttms
1.1,6,ABCO,HP,-3.01,136.1752988,0,51.0,180.0,0.0,180.0,15.0,105.0,90.0,1,260.6,279.6,264.8,30,4.7264,0,2020,October,12.6961,13.3797,0.6836,1,12.1941,-3644.0
1.1,8,CECO,EPI,-7.354,51.42237876,0,10.0,6.0,41.0,47.0,4.0,138.0,93.0,1,272.4,323.6,285.8,0,0.4926,1,2020,October,12.5005,12.6903,0.1898,1,12.1314,-51.0
1.1,10,CADE,HP,-4.448,-123.6157596,missing dry wt,38.0,70.0,0.0,70.0,17.0,110.0,93.0,1,217.1,286.2,226.3,0,3.1134,0,2020,October,0,8.9012,8.9012,1,7.2007,4.0
1.1,3,ABCO,HP,-0.987,167.4635332,0,46.0,532.0,0.0,532.0,9.0,104.0,95.0,2,212.4,337.3,264.9,0,7.3618,0,2020,October,7.6714,8.498,0.8266,1,7.1778,2.0
1.1,3,CECO,HP,-3.827,82.1880651,0,16.0,562.0,0.0,562.0,15.0,110.0,95.0,2,230.7,279.5,247.2,0,1.8793,0,2020,October,12.4064,12.5882,0.1818,1,12.1852,5.0
1.1,4,QUKE,EPI,-4.251,75.14688602,0,0.0,5.0,-50.0,-45.0,0.0,45.0,95.0,0,275,0,0,0,0.3768,1,2020,October,12.2891,12.417,0.1279,1,12.1189,0.0
1.1,2,PIJE,HP,-1.014,170.0417537,0,48.0,106.0,14.0,120.0,24.0,138.0,100.0,1,276.4,387.1,291.4,100,7.6247,1,2020,October,12.5846,13.2362,0.6516,1,12.2014,6.0
1.1,8,ABCO,HP,-3.62,102.1890128,0,38.0,57.0,46.0,103.0,18.0,164.0,100.0,1,235.7,332.6,235.2,95,4.3386,1,2020,October,7.7071,8.1926,0.4855,1,7.232,4.0
1.1,4,ABCO,HP,-2.187,143.9111262,0,48.0,224.0,0.0,224.0,14.0,118.0,104.0,1,230.4,273.7,239,0,7.2782,0,2020,October,7.8193,8.6678,0.8485,1,7.2297,2.0
1.1,9,CECO,HP,-6.78,0,Missing lfm and flam weight,19.0,27.0,364.0,391.0,11.0,479.0,104.0,2,240.8,241.8,236.1,0,0,1,2020,October,0,0,0,1,0,3.0
