individual,sample,round,spp,model,mpa,lfm,lfm_notes,fh,ttfg,gti,tti,fd,gd,pfg,ignition,start_temp,temp_max,ignition_temp,prop_new,sample_wt,glow,year_month,year,month,dry_wt,fresh_wt,water_wt,site,lfm_outliers_out,lfm_n_as_imputed,gr,precip_2month,precip_2mo,season,hydration,bins5lfm,bins10lfm,bins20lfm,temp_change,gdw_gfw,gww_gdw,flam_index,max_mpa_sample
2020_September_CEME_1.1,1.1,7,CEME,EPI,6.31,64.82900943,0,3,26,34,60,3,152,115,1,277.3,315.7,294.9,100,0.5307,1,2020_September,2020,September,0.3392,0.5591,0.2199,St. Marys,64.82900943,64.82900943,"(60,70]",2020_September,0.01,Dry,moderate,"(60,65]","(60,70]","(60,80]",38.39999999999998,0.6066893221248435,0.6482900943,6.173713404422584,-0.043
2020_September_CEME_1.2,1.2,7,CEME,EPI,7.034,125.9367872,0,13.25,15,11,26,14,150,125,1,277.3,356.5,265.4,100,0.5128,1,2020_September,2020,September,0.3069,0.6934,0.3865,St. Marys,125.9367872,125.9367872,"(120,130]",2020_September,0.01,Dry,hydrated,"(125,130]","(120,130]","(120,140]",79.19999999999999,0.4426016729160658,1.259367872,10.938264110768245,-0.043
2020_September_CEME_1.3,1.3,7,CEME,EPI,5.99,63.26905418,0,3,12,36,48,2,123,85,1,271.2,299.3,280.9,100,0.498,1,2020_September,2020,September,0.3267,0.5334,0.2067,St. Marys,63.26905418,63.26905418,"(60,70]",2020_September,0.01,Dry,moderate,"(60,65]","(60,70]","(60,80]",28.100000000000023,0.6124859392575928,0.6326905418,6.740629235866347,-0.043
2020_September_CEME_1.3,1.3,7,CEME,EPI,5.99,63.26905418,0,3,21,45,66,3,117,69,1,268.7,407.3,274.4,100,0.5266,1,2020_September,2020,September,0.3267,0.5334,0.2067,St. Marys,63.26905418,63.26905418,"(60,70]",2020_September,0.01,Dry,moderate,"(60,65]","(60,70]","(60,80]",138.60000000000002,0.6124859392575928,0.6326905418,5.955252208229287,-0.043
2020_September_CEME_1.4,1.4,7,CEME,EPI,6.04,60.43385273,0,3,21,7,28,11,87,69,1,266.8,354.6,258.5,100,0.4708,1,2020_September,2020,September,0.3273,0.5251,0.1978,St. Marys,60.43385273,60.43385273,"(60,70]",2020_September,0.01,Dry,moderate,"(60,65]","(60,70]","(60,80]",87.80000000000001,0.6233098457436678,0.6043385272999999,8.432044782354941,-0.043
2020_September_CEME_1.5,1.5,7,CEME,EPI,6.49,61.51724138,0,11.5,4,35,39,3,138,100,1,275.4,336.8,302.3,100,0.5083,1,2020_September,2020,September,0.29,0.4684,0.1784,St. Marys,61.51724138,61.51724138,"(60,70]",2020_September,0.01,Dry,moderate,"(60,65]","(60,70]","(60,80]",61.400000000000034,0.6191289496157131,0.6151724138,8.952476770116824,-0.043
2020_September_CEME_1.6,1.6,7,CEME,EPI,10,29.66396292,0,12.5,2,22,24,15,152,115,1,271.2,431.5,272.2,100,0.5793,1,2020_September,2020,September,0.3452,0.4476,0.1024,St. Marys,29.66396292,29.66396292,"(20,30]",2020_September,0.01,Dry,dry,"(25,30]","(20,30]","(20,40]",160.3,0.7712243074173369,0.2966396292,11.166023756009803,-0.043
2020_September_CEME_2.2,2.2,7,CEME,EPI,2.057,97.05071665,0,6.75,31,30,61,2,169,137,1,274.1,331.6,311.2,100,0.4873,1,2020_September,2020,September,0.3628,0.7149,0.3521,Painted Caves,97.05071665,97.05071665,"(90,100]",2020_September,0.01,Dry,hydrated,"(95,100]","(90,100]","(80,100]",57.5,0.5074835641348441,0.9705071665,6.780031637134004,-0.043
2020_September_CEME_2.3,2.3,7,CEME,EPI,7.196,62.75832982,"Mislabeled  as 2.4-7 in video, but datasheet notes confirm this is 2.3-7",10.75,39,14,53,5,168,149,1,271.8,360.7,249.8,100,0.5214,1,2020_September,2020,September,0.4742,0.7718,0.2976,Painted Caves,62.75832982,62.75832982,"(60,70]",2020_September,0.01,Dry,moderate,"(60,65]","(60,70]","(60,80]",88.89999999999998,0.6144078776885203,0.6275832982,7.794049998284821,-0.043
2020_September_CEME_2.4,2.4,7,CEME,EPI,5.37,76.19272556,0,13,21,18,39,13,111,80,1,258.3,416.5,260.4,100,0.5027,1,2020_September,2020,September,0.4234,0.746,0.3226,Painted Caves,76.19272556,76.19272556,"(70,80]",2020_September,0.01,Dry,moderate,"(75,80]","(70,80]","(60,80]",158.2,0.5675603217158177,0.7619272556,9.191038464571204,-0.043
2020_September_CEME_2.5,2.5,7,CEME,EPI,7.059,61.28964503,0,7,46,1,47,7,99,91,1,268,439.1,280.1,100,0.486,1,2020_September,2020,September,0.4761,0.7679,0.2918,Painted Caves,61.28964503,61.28964503,"(60,70]",2020_September,0.01,Dry,moderate,"(60,65]","(60,70]","(60,80]",171.10000000000002,0.620002604505795,0.6128964503000001,7.5574918841523475,-0.043
2020_September_CEME_2.6,2.6,7,CEME,EPI,6.491,62.88356452,0,9,8,30,38,6,126,90,1,274.4,314.4,287,100,0.54990000000000006,1,2020_September,2020,September,0.4758,0.775,0.2992,Painted Caves,62.88356452,62.88356452,"(60,70]",2020_September,0.01,Dry,moderate,"(60,65]","(60,70]","(60,80]",40,0.6139354838709677,0.6288356452,8.619497351626622,-0.043
2020_September_CEME_1.1,1.1,8,CEME,EPI,7.758,73.82212144,0,6.75,23,27,50,2,139,110,1,271,306.4,290.9,100,0.553,1,2020_September,2020,September,0.3969,0.6899,0.293,St. Marys,73.82212144,73.82212144,"(70,80]",2020_September,0.01,Dry,moderate,"(70,75]","(70,80]","(60,80]",35.39999999999998,0.5753007682272793,0.7382212144,7.32841654896102,-0.043
2020_September_CEME_1.2,1.2,8,CEME,EPI,8.1,52.035033489999996,0,3,18,26,44,3,138,109,1,270.9,324,289.5,100,0.5071,1,2020_September,2020,September,0.3882,0.5902,0.202,St. Marys,52.035033489999996,52.035033489999996,"(50,60]",2020_September,0.01,Dry,dry,"(50,55]","(50,60]","(40,60]",53.10000000000002,0.6577431379193495,0.5203503349,6.983115358460288,-0.043
2020_September_CEME_1.4,1.4,8,CEME,EPI,8.848,47.87928222,0,7,15,28,43,4,130,98,1,275.2,292.3,281.4,100,0.4466,1,2020_September,2020,September,0.2452,0.3626,0.1174,St. Marys,47.87928222,47.87928222,"(40,50]",2020_September,0.01,Dry,dry,"(45,50]","(40,50]","(40,60]",17.100000000000023,0.6762272476558191,0.4787928222,7.836530869684483,-0.043
2020_September_CEME_1.5,1.5,8,CEME,EPI,7.822,55.79728692,0,5,14,35,49,3,164,126,1,277.4,297.8,281.6,100,0.4979,1,2020_September,2020,September,0.3907,0.6087,0.218,St. Marys,55.79728692,55.79728692,"(50,60]",2020_September,0.01,Dry,dry,"(55,60]","(50,60]","(40,60]",20.40000000000003,0.6418597010021356,0.5579728692,7.071740845122855,-0.043
2020_September_CEME_1.6,1.6,8,CEME,EPI,7.922,46.89092762,0,12.5,13,22,35,4,151,125,1,291.2,338.8,308.2,100,0.5418,1,2020_September,2020,September,0.2943,0.4323,0.138,St. Marys,46.89092762,46.89092762,"(40,50]",2020_September,0.01,Dry,dry,"(45,50]","(40,50]","(40,60]",47.60000000000002,0.6807772380291464,0.4689092762,9.53356414255808,-0.043
2020_September_CEME_2.1,2.1,8,CEME,EPI,6.421,60.2486452,"HP wt: 0.8469, must be missing HP video?",2,22,25,47,1,118,92,1,264.1,310.7,277.8,100,0.4662,1,2020_September,2020,September,0.3137,0.5027,0.189,Painted Caves,60.2486452,60.2486452,"(60,70]",2020_September,0.01,Dry,moderate,"(60,65]","(60,70]","(60,80]",46.599999999999966,0.6240302367217028,0.602486452,6.590455975084933,-0.043
2020_September_CEME_2.3,2.3,8,CEME,EPI,10,44.65658976,0,11,12,30,42,3,160,127,1,263.4,325.3,293.3,100,0.5588,1,2020_September,2020,September,0.3771,0.5455,0.1684,Painted Caves,44.65658976,44.65658976,"(40,50]",2020_September,0.01,Dry,dry,"(40,45]","(40,50]","(40,60]",61.900000000000034,0.6912923923006417,0.4465658976,8.602554602973765,-0.043
2020_September_CEME_2.6,2.6,8,CEME,EPI,9.28,47.77070064,0,14.5,8,29,37,2,116,85,1,274,344.1,283,100,0.4837,1,2020_September,2020,September,0.314,0.464,0.15,Painted Caves,47.77070064,47.77070064,"(40,50]",2020_September,0.01,Dry,dry,"(45,50]","(40,50]","(40,60]",70.10000000000002,0.6767241379310345,0.4777070064,9.626657573258957,-0.043
2020_September_CEME_1.1,1.1,9,CEME,EPI,10,40.56706652,0,18.5,13,25,38,5,138,108,1,260,349.3,272.1,100,0.557,1,2020_September,2020,September,0.3668,0.5156,0.1488,St. Marys,40.56706652,40.56706652,"(40,50]",2020_September,0.01,Dry,dry,"(40,45]","(40,50]","(40,60]",89.30000000000001,0.7114041892940265,0.40567066519999995,10.080674526264875,-0.043
2020_September_CEME_1.2,1.2,9,CEME,EPI,9.395,44.84884646,0,11,26,20,46,10,183,153,1,272.8,375.3,242.2,100,0.5219,1,2020_September,2020,September,0.5028,0.7283,0.2255,St. Marys,44.84884646,44.84884646,"(40,50]",2020_September,0.01,Dry,dry,"(40,45]","(40,50]","(40,60]",102.5,0.690374845530688,0.4484884646,8.288340467427934,-0.043
2020_September_CEME_1.3,1.3,9,CEME,EPI,7.919,51.918286,0,17,10,17,27,8,141,116,1,273.8,430.4,267.8,100,0.5641,1,2020_September,2020,September,0.4014,0.6098,0.2084,St. Marys,51.918286,51.918286,"(50,60]",2020_September,0.01,Dry,dry,"(50,55]","(50,60]","(40,60]",156.59999999999997,0.6582486061003607,0.51918286,11.400395712364547,-0.043
2020_September_CEME_1.4,1.4,9,CEME,EPI,10,41.97389512,0,17,14,26,40,15,206,165,1,272.2,386.8,269.7,100,0.5414,1,2020_September,2020,September,0.4367,0.62,0.1833,St. Marys,41.97389512,41.97389512,"(40,50]",2020_September,0.01,Dry,dry,"(40,45]","(40,50]","(40,60]",114.60000000000002,0.7043548387096774,0.4197389512,9.670643795222402,-0.043
2020_September_CEME_1.5,1.5,9,CEME,EPI,7.118,55.38030144,0,6,16,10,26,16,125,99,1,272.1,318,273.7,100,0.4064,1,2020_September,2020,September,0.2853,0.4433,0.158,St. Marys,55.38030144,55.38030144,"(50,60]",2020_September,0.01,Dry,dry,"(55,60]","(50,60]","(40,60]",45.89999999999998,0.6435822242273854,0.5538030144,9.439403088746024,-0.043
2020_September_CEME_1.6,1.6,9,CEME,EPI,8.667,52.41502683,0,11.5,25,20,45,4,117,93,1,273.2,326.5,290.9,100,0.5279,1,2020_September,2020,September,0.3913,0.5964,0.2051,St. Marys,52.41502683,52.41502683,"(50,60]",2020_September,0.01,Dry,dry,"(50,55]","(50,60]","(40,60]",53.30000000000001,0.6561032863849765,0.5241502683,8.440321348485426,-0.043
2020_September_CEME_2.1,2.1,9,CEME,EPI,10,45.82924436,0,13,17,21,38,13,205,171,1,277.4,332,258,100,0.5347,1,2020_September,2020,September,0.4076,0.5944,0.1868,Painted Caves,45.82924436,45.82924436,"(40,50]",2020_September,0.01,Dry,dry,"(45,50]","(40,50]","(40,60]",54.60000000000002,0.6857335127860027,0.4582924436,9.290819583910393,-0.043
2020_September_CEME_2.2,2.2,9,CEME,EPI,6.67,64.14665801,0,5,24,23,47,8,121,90,1,282.8,341.4,258.1,100,0.5096,1,2020_September,2020,September,0.3082,0.5059,0.1977,Painted Caves,64.14665801,64.14665801,"(60,70]",2020_September,0.01,Dry,moderate,"(60,65]","(60,70]","(60,80]",58.599999999999966,0.6092113065823285,0.6414665800999999,7.19155212265611,-0.043
2020_September_CEME_2.3,2.3,9,CEME,EPI,8.217,56.18305745,0,9.25,33,22,55,6,126,98,1,278.3,363.3,279.1,100,0.5588,1,2020_September,2020,September,0.7189,1.1228,0.4039,Painted Caves,56.18305745,56.18305745,"(50,60]",2020_September,0.01,Dry,dry,"(55,60]","(50,60]","(40,60]",85,0.6402743142144638,0.5618305745,7.457286104304779,-0.043
2020_September_CEME_2.4,2.4,9,CEME,EPI,7.23,58.78667985,0,4.5,23,39,62,2,181,140,1,276.1,310.3,286.5,100,0.4942,1,2020_September,2020,September,0.3033,0.4816,0.1783,Painted Caves,58.78667985,58.78667985,"(50,60]",2020_September,0.01,Dry,dry,"(55,60]","(50,60]","(40,60]",34.19999999999999,0.6297757475083057,0.5878667985,6.3639625892871035,-0.043
2020_September_CEME_2.5,2.5,9,CEME,EPI,8.001,56.18361153,0,1.5,16,33,49,2,176,141,1,269,322.9,287.7,100,0.4488,1,2020_September,2020,September,0.5272,0.8234,0.2962,Painted Caves,56.18361153,56.18361153,"(50,60]",2020_September,0.01,Dry,dry,"(55,60]","(50,60]","(40,60]",53.89999999999998,0.6402720427495749,0.5618361153,6.375664101530902,-0.043
2020_September_CEME_2.6,2.6,9,CEME,EPI,7.87,46.15384615,0,9,10,31,41,5,138,102,1,265.8,323.1,291.5,100,0.5413,1,2020_September,2020,September,0.299,0.437,0.138,Painted Caves,46.15384615,46.15384615,"(40,50]",2020_September,0.01,Dry,dry,"(45,50]","(40,50]","(40,60]",57.30000000000001,0.6842105263157895,0.4615384615,8.352165327239888,-0.043
2020_September_CEME_1.1,1.1,10,CEME,EPI,10,43.19974755,0,12.5,27,13,40,5,105,87,1,277.4,328.9,286.1,100,0.4581,1,2020_September,2020,September,0.3169,0.4538,0.1369,St. Marys,43.19974755,43.19974755,"(40,50]",2020_September,0.01,Dry,dry,"(40,45]","(40,50]","(40,60]",51.5,0.6983252534156017,0.4319974755,9.0176786370084,-0.043
2020_September_CEME_1.3,1.3,10,CEME,EPI,8.38,51.17647059,0,14,16,18,34,6,112,88,1,278.7,412.7,295.4,100,0.4637,1,2020_September,2020,September,0.34,0.514,0.174,St. Marys,51.17647059,51.17647059,"(50,60]",2020_September,0.01,Dry,dry,"(50,55]","(50,60]","(40,60]",134,0.6614785992217899,0.5117647059,9.894423077797038,-0.043
2020_September_CEME_1.4,1.4,10,CEME,EPI,9.11,48.82001706,0,15.5,19,20,39,5,125,100,1,293.2,365.3,277.9,100,0.5451,1,2020_September,2020,September,0.3517,0.5234,0.1717,St. Marys,48.82001706,48.82001706,"(40,50]",2020_September,0.01,Dry,dry,"(45,50]","(40,50]","(40,60]",72.10000000000002,0.6719526175009554,0.4882001706,9.563318705467738,-0.043
2020_September_CEME_1.5,1.5,10,CEME,EPI,10,44.4506884,0,12,1,32,33,11,119,76,1,288.3,404.6,288.3,100,0.5583,1,2020_September,2020,September,0.3559,0.5141,0.1582,St. Marys,44.4506884,44.4506884,"(40,50]",2020_September,0.01,Dry,dry,"(40,45]","(40,50]","(40,60]",116.3,0.6922777669714063,0.444506884,9.68640637057757,-0.043
2020_September_CEME_1.6,1.6,10,CEME,EPI,1.89,45.66148298,0,15,23,9,32,8,153,136,1,268.9,381.4,276.3,100,0.5447,1,2020_September,2020,September,0.4437,0.6463,0.2026,St. Marys,45.66148298,45.66148298,"(40,50]",2020_September,0.01,Dry,dry,"(45,50]","(40,50]","(40,60]",112.5,0.6865232863995049,0.4566148298,10.30979888553193,-0.043
2020_September_CEME_2.3,2.3,10,CEME,EPI,9.064,155.2264808,0,12,24,9,33,11,162,142,1,280.1,415.9,261.8,100,0.5739,1,2020_September,2020,September,0.2296,0.586,0.3564,Painted Caves,155.2264808,155.2264808,"(150,160]",2020_September,0.01,Dry,hydrated,"(155,160]","(150,160]","(140,160]",135.79999999999995,0.39180887372013656,1.552264808,9.68640637057757,-0.043
2020_September_CEME_2.4,2.4,10,CEME,EPI,8.049,52.73752013,0,5.25,5,53,58,4,182,125,1,267.9,295.3,286,100,0.525,1,2020_September,2020,September,0.3726,0.5691,0.1965,Painted Caves,52.73752013,52.73752013,"(50,60]",2020_September,0.01,Dry,dry,"(50,55]","(50,60]","(40,60]",27.40000000000003,0.654717975751186,0.5273752013,6.66013266981185,-0.043
2020_September_CEME_2.5,2.5,10,CEME,EPI,10,43.26980345,0,18.5,14,20,34,7,145,118,1,268.8,354.5,302,100,0.5182,1,2020_September,2020,September,0.3358,0.4811,0.1453,Painted Caves,43.26980345,43.26980345,"(40,50]",2020_September,0.01,Dry,dry,"(40,45]","(40,50]","(40,60]",85.69999999999999,0.6979837871544377,0.4326980345,10.560295542834714,-0.043
2020_September_CEME_2.2,2.2,11,CEME,EPI,7.819,57.54357844,0,7.5,25,14,39,4,128,110,1,271.8,322.4,288.2,100,0.4655,1,2020_September,2020,September,0.4991,0.7863,0.2872,Painted Caves,57.54357844,57.54357844,"(50,60]",2020_September,0.01,Dry,dry,"(55,60]","(50,60]","(40,60]",50.599999999999966,0.6347450082665649,0.5754357844,8.25335870900874,-0.043
2020_September_CEME_2.2,2.2,12,CEME,EPI,10,38.70813397,0,17,18,14,32,7,134,113,1,274,376.4,267.4,100,0.487,1,2020_September,2020,September,0.418,0.5798,0.1618,Painted Caves,38.70813397,38.70813397,"(30,40]",2020_September,0.01,Dry,dry,"(35,40]","(30,40]","(20,40]",102.39999999999998,0.7209382545705415,0.3870813397,10.615503960852337,-0.043
2020_September_CEME_2.2,2.2,13,CEME,EPI,9.18,44.47574965,0,15,23,20,43,9,160,131,1,275,379.7,271.9,100,0.5744,1,2020_September,2020,September,0.4969,0.7179,0.221,Painted Caves,44.47574965,44.47574965,"(40,50]",2020_September,0.01,Dry,dry,"(40,45]","(40,50]","(40,60]",104.7,0.6921576821284302,0.4447574965,9.116233720287642,-0.043
2016_December_ADFA_1,1,1,ADFA,EPI,0.5,67,0,14,8,20,28,5,87,62,1,275.2,329.6,265.05,100,0.516,1,2016_December,2016,December,0.3,0.501,0.201,St. Marys,67,67,"(60,70]",2016_December,0.61,Dry,moderate,"(65,70]","(60,70]","(60,80]",54.400000000000034,0.5988023952095808,0.67,13.252802420921451,-0.043
2016_December_ADFA_2,2,1,ADFA,EPI,0.8,69.31818182,0,6,22,24,46,2,91,65,1,278.9,296.1,265.05,100,0.528,1,2016_December,2016,December,0.616,1.043,0.427,St. Marys,69.31818182,69.31818182,"(60,70]",2016_December,0.61,Dry,moderate,"(65,70]","(60,70]","(60,80]",17.200000000000045,0.5906040268456376,0.6931818182,8.850477368306041,-0.043
2016_December_ADFA_3,3,1,ADFA,EPI,0.7,67.31707317,0,5,15,26,41,3,101,72,1,276.9,282.1,265.05,100,0.469,1,2016_December,2016,December,0.205,0.343,0.138,St. Marys,67.31707317,67.31707317,"(60,70]",2016_December,0.61,Dry,moderate,"(65,70]","(60,70]","(60,80]",5.2000000000000455,0.597667638483965,0.6731707317,9.024915819541274,-0.043
2016_December_ADFA_4,4,1,ADFA,EPI,0.5,74.72766885,0,11,18,18,36,7,85,60,1,280.1,327.3,265.05,100,0.505,1,2016_December,2016,December,0.459,0.802,0.343,St. Marys,74.72766885,74.72766885,"(70,80]",2016_December,0.61,Dry,moderate,"(70,75]","(70,80]","(60,80]",47.19999999999999,0.5723192019950124,0.7472766885,11.18434570831216,-0.043
2016_December_ADFA_5,5,1,ADFA,EPI,0.4,88.04733728,0,6,11,39,50,3,107,65,1,279.8,308.8,265.05,100,0.498,1,2016_December,2016,December,0.4225,0.7945,0.372,St. Marys,88.04733728,88.04733728,"(80,90]",2016_December,0.61,Dry,moderate,"(85,90]","(80,90]","(80,100]",29,0.5317809943360604,0.8804733727999999,8.53507853845368,-0.043
2016_December_ADFA_6,6,1,ADFA,EPI,0.2,78.51162791,0,6,39,16,55,3,122,103,1,279.6,307.1,265.05,100,0.47,1,2016_December,2016,December,0.5375,0.9595,0.422,St. Marys,78.51162791,78.51162791,"(70,80]",2016_December,0.61,Dry,moderate,"(75,80]","(70,80]","(60,80]",27.5,0.5601875977071391,0.7851162791,8.19339647278029,-0.043
2016_December_ADFA_1,1,2,ADFA,EPI,0.3,94.74277725864228,0,15,6,22,28,6,94,66,1,278.5,292.8,265.05,100,0.492,1,2016_December,2016,December,0.144,0.373,0.229,St. Marys,NA,94.74277725864228,"(150,160]",2016_December,0.61,Dry,hydrated,"(155,160]","(150,160]","(140,160]",14.300000000000011,0.38605898123324395,0.947427772586423,13.478302826360991,-0.043
2016_December_ADFA_2,2,2,ADFA,EPI,0.6,98.27882107945943,0,8,10,24,34,2,84,58,1,274.1,305.95,265.05,100,0.533,1,2016_December,2016,December,0.189,0.464,0.275,St. Marys,NA,98.27882107945943,"(140,150]",2016_December,0.61,Dry,hydrated,"(145,150]","(140,150]","(140,160]",29.700000000000045,0.4073275862068965,0.9827882107945944,10.701143796125146,-0.043
2016_December_ADFA_3,3,2,ADFA,EPI,0.4,95.82993884684646,0,7,14,30,44,1,92,61,1,271.7,287.9,265.05,100,0.471,1,2016_December,2016,December,0.2,0.471,0.271,St. Marys,NA,95.82993884684646,"(130,140]",2016_December,0.61,Dry,hydrated,"(135,140]","(130,140]","(120,140]",16.19999999999999,0.4246284501061572,0.9582993884684646,9.28914827949455,-0.043
2016_December_ADFA_4,4,2,ADFA,EPI,0.4,68.23734729,0,1,19,32,51,1,162,129,1,271.3,305.95,265.05,100,0.549,1,2016_December,2016,December,0.573,0.964,0.391,St. Marys,68.23734729,68.23734729,"(60,70]",2016_December,0.61,Dry,moderate,"(65,70]","(60,70]","(60,80]",29.700000000000045,0.5943983402489627,0.68237347290000006,7.022530472303142,-0.043
2016_December_ADFA_5,5,2,ADFA,EPI,0.4,60.33898305,0,10,15,16,31,9,101,76,1,277.2,379.3,265.05,100,0.533,1,2016_December,2016,December,0.295,0.473,0.178,St. Marys,60.33898305,60.33898305,"(60,70]",2016_December,0.61,Dry,moderate,"(60,65]","(60,70]","(60,80]",102.10000000000002,0.6236786469344608,0.6033898305000001,11.70244926801226,-0.043
2016_December_ADFA_6,6,2,ADFA,EPI,0.2,83.47169811,0,10,46,3,49,6,69,60,1,277.9,316.8,265.05,100,0.523,1,2016_December,2016,December,0.6625,1.2155,0.553,St. Marys,83.47169811,83.47169811,"(80,90]",2016_December,0.61,Dry,moderate,"(80,85]","(80,90]","(80,100]",38.900000000000034,0.5450431921020156,0.8347169811,9.550779421360852,-0.043
2016_December_ADFA_1,1,3,ADFA,EPI,0.4,76.44628099,0,10,3,34,37,4,119,81,1,276,341.9,265.05,100,0.484,1,2016_December,2016,December,0.242,0.427,0.185,St. Marys,76.44628099,76.44628099,"(70,80]",2016_December,0.61,Dry,moderate,"(75,80]","(70,80]","(60,80]",65.89999999999998,0.5667447306791569,0.7644628099,10.811353674954606,-0.043
2016_December_ADFA_2,2,3,ADFA,EPI,0.7,55.45722714,0,8,16,18,34,2,70,50,1,283.9,286.3,265.05,100,0.53,1,2016_December,2016,December,0.1695,0.2635,0.094,St. Marys,55.45722714,55.45722714,"(50,60]",2016_December,0.61,Dry,dry,"(55,60]","(50,60]","(40,60]",2.400000000000034,0.6432637571157496,0.5545722714,10.701143796125146,-0.043
2016_December_ADFA_3,3,3,ADFA,EPI,0.5,96.67907439769098,0,7,14,29,43,3,91,59,1,286.4,289.4,265.05,100,0.452,1,2016_December,2016,December,0.108,0.322,0.214,St. Marys,NA,96.67907439769098,"(190,200]",2016_December,0.61,Dry,hydrated,"(195,200]","(190,200]","(180,200]",3,0.3354037267080745,0.9667907439769098,9.383777856562164,-0.043
2016_December_ADFA_4,4,3,ADFA,EPI,0.5,91.88405797,0,8,15,37,52,7,130,86,1,279.1,306.2,265.05,100,0.536,1,2016_December,2016,December,0.345,0.662,0.317,St. Marys,91.88405797,91.88405797,"(90,100]",2016_December,0.61,Dry,hydrated,"(90,95]","(90,100]","(80,100]",27.09999999999997,0.5211480362537764,0.9188405797,8.871994798415383,-0.043
2016_December_ADFA_5,5,3,ADFA,EPI,0.6,80.4377565,0,12,8,39,47,13,144,92,1,279.5,310.3,265.05,100,0.501,1,2016_December,2016,December,0.3655,0.6595,0.294,St. Marys,80.4377565,80.4377565,"(80,90]",2016_December,0.61,Dry,moderate,"(80,85]","(80,90]","(80,100]",30.80000000000001,0.55420773313116,0.804377565,10.1424268932775,-0.043
2016_December_ADFA_6,6,3,ADFA,EPI,0.4,95.52238806,0,12,35,3,38,12,103,88,1,273,321.6,265.05,100,0.533,1,2016_December,2016,December,0.402,0.786,0.384,St. Marys,95.52238806,95.52238806,"(90,100]",2016_December,0.61,Dry,hydrated,"(95,100]","(90,100]","(80,100]",48.60000000000002,0.5114503816793893,0.9552238806,11.141342309030208,-0.043
2016_December_ADFA_1,1,4,ADFA,EPI,0.5,89.44374563023983,0,8,15,30,45,1,131,100,1,276.7,287.8,265.05,100,0.506,1,2016_December,2016,December,0.191,0.425,0.234,St. Marys,NA,89.44374563023983,"(120,130]",2016_December,0.61,Dry,hydrated,"(120,125]","(120,130]","(120,140]",11.100000000000025,0.4494117647058824,0.8944374563023983,9.447248903492223,-0.043
2016_December_ADFA_2,2,4,ADFA,EPI,0.8,92.94065940774368,0,10,23,0.5,23,12,81,69,1,283,294.7,265.05,100,0.508,1,2016_December,2016,December,0.0805,0.2575,0.177,St. Marys,NA,92.94065940774368,NA,2016_December,0.61,Dry,NA,NA,NA,NA,11.699999999999989,0.312621359223301,0.9294065940774368,13.359134032570154,-0.043
2016_December_ADFA_3,3,4,ADFA,EPI,0.6,112.4,0,7,15,25,40,5,83,53,1,271.9,321.7,265.05,100,0.488,1,2016_December,2016,December,0.25,0.531,0.281,St. Marys,112.4,112.4,"(110,120]",2016_December,0.61,Dry,hydrated,"(110,115]","(110,120]","(100,120]",49.80000000000001,0.4708097928436911,1.124,9.689296205380469,-0.043
2016_December_ADFA_4,4,4,ADFA,EPI,0.8,106.3829787,0,10,12,19,31,5,102,78,1,277.2,306,265.05,100,0.512,1,2016_December,2016,December,0.141,0.291,0.15,St. Marys,106.3829787,106.3829787,"(100,110]",2016_December,0.61,Dry,hydrated,"(105,110]","(100,110]","(100,120]",28.80000000000001,0.4845360824742268,1.063829787,11.70244926801226,-0.043
2016_December_ADFA_5,5,4,ADFA,EPI,1,78.15491732,0,10,20,15,35,8,117,94,1,282.8,320,265.05,100,0.509,1,2016_December,2016,December,0.5745,1.0235,0.449,St. Marys,78.15491732,78.15491732,"(70,80]",2016_December,0.61,Dry,moderate,"(75,80]","(70,80]","(60,80]",37.19999999999999,0.5613092330239374,0.7815491732,11.083372329677468,-0.043
2016_December_ADFA_6,6,4,ADFA,EPI,1.3,74.22053232,0,11,19,18,37,3,101,80,1,279.4,316,265.05,100,0.502,1,2016_December,2016,December,0.6575,1.1455,0.488,St. Marys,74.22053232,74.22053232,"(70,80]",2016_December,0.61,Dry,moderate,"(70,75]","(70,80]","(60,80]",36.60000000000002,0.5739851593190747,0.7422053232,11.048222275697334,-0.043
2016_December_ADFA_1,1,5,ADFA,EPI,0.9,88.88888889,0,16,6,22,28,4,89,63,1,284.6,292.6,265.05,100,0.519,1,2016_December,2016,December,0.216,0.408,0.192,St. Marys,88.88888889,88.88888889,"(80,90]",2016_December,0.61,Dry,moderate,"(85,90]","(80,90]","(80,100]",8,0.5294117647058824,0.8888888889000001,13.694616660542495,-0.043
2016_December_ADFA_2,2,5,ADFA,EPI,1,90.37618216130936,0,14,22,5,27,6,61,50,1,278.9,337.4,265.05,100,0.475,1,2016_December,2016,December,0.1605,0.3775,0.217,St. Marys,NA,90.37618216130936,"(130,140]",2016_December,0.61,Dry,hydrated,"(135,140]","(130,140]","(120,140]",58.5,0.4251655629139073,0.9037618216130936,13.46912064831158,-0.043
2016_December_ADFA_3,3,5,ADFA,EPI,0.7,92.929897045546,0,11,14,21,35,3,100,76,1,288.4,294.5,265.05,100,0.483,1,2016_December,2016,December,0.18,0.423,0.243,St. Marys,NA,92.929897045546,"(130,140]",2016_December,0.61,Dry,hydrated,"(130,135]","(130,140]","(120,140]",6.100000000000023,0.425531914893617,0.9292989704554598,11.32620065387919,-0.043
