author,year,heating.notes,heating.temp,heating.irradiance,second.heating,sample.size.description,sample.weight,sample.length.cm,sample.area.cm,sample.volume.cm,epiradiator,wind.tunnel,muffle.furnace,MLC,xylene.lattice,fire.bench,grill,oxygen.bomb.calorimeter,steel.ring.litter.bed,tray,FFB,FPA,cone.calorimeter,bunsen.burner,other,intermediate.scale.calorimeter,duplicate,model,notes
Alessio et al,2008,"start at 60 C, end after three phases of burning (smoke, pyrolysis, flame) at which temp. was about 500 C",,,,10 +/- 0.5g,10,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N,EPI,
Schemel et al,2008,NA,,,,15g,15,,,,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,N,FPA,
Plucinski and Anderson,2008,NA,,,,25cm diameter x 1.8cm deep,,,,2775.82,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,N,tray,
Kane et al,2008,NA,,,,15g,15,,,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,N,XL,
De Lillis et al,2009,"500W; start at 70 C,  then set to 400 W per cm2 so it progresses  with 2 degrees  C per second",,,,30g,30,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N,EPI,
Ormeno et al ,2009,420 C; 500W; 3.0-7.5 W/cm2,420,52.5,,epiradiator: 1g,1,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,EPI,
Ormeno et al ,2009,NA,,,,"Burn table: 1kg, 1m2 litter bed",1000,,10000,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,Y,FB,
Madrigal et al,2009,50 kW per m2,,50,,10g,10,,,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,N,MLC,
Saura-Mas and Paula,2010,"Start at 60 C, end after three phases of burning ",,,,10g,10,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N,EPI,
Pickett et al,2010,987 C post-flame temp,687,,,NA,,,,,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,N,FFB,
Marino et al ,2010,NA,,,,NA,,,,,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,N,tray,
Hachimi et al,2011,500W constant nominal power rating,,63.66,,1g,1,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N,EPI,
Ganteaume et al,2011,NA,,,,0.10m2 surface area,,,1000,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,N,FB,
Bartoli et al,2011,25kW per m2,,25,,15g,15,,,,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,N,FPA,
Jaureguiberry et al,2011,"150 C, blowtorch as ignition source",150,,,NA,,,,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,N,grill,
Curt et al,2011,NA,,,,Shrubs: 51g sample,51,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,Y,other,unique experiment: laid upon wire cage with burning litter below
Curt et al,2011,NA,,,,40cm diameter,,,15791.34,,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Y,tray,unique experiment: laid upon wire cage with burning litter below
