individual_round,individual_epi,sample_epi,round_epi,spp_epi,model_epi,mpa_epi,lfm_epi,lfm_notes_epi,fh_epi,ttfg_epi,gti_epi,tti_epi,fd_epi,gd_epi,pfg_epi,ignition_epi,start_temp_epi,temp_max_epi,ignition_temp_epi,prop_new_epi,sample_wt_epi,glow_epi,year_month_epi,year_epi,month_epi,dry_wt_epi,fresh_wt_epi,water_wt_epi,site_epi,location_epi,individual_hp,sample_hp,round_hp,spp_hp,model_hp,mpa_hp,lfm_hp,lfm_notes_hp,fh_hp,ttfg_hp,gti_hp,tti_hp,fd_hp,gd_hp,pfg_hp,ignition_hp,start_temp_hp,temp_max_hp,ignition_temp_hp,prop_new_hp,sample_wt_hp,glow_hp,year_month_hp,year_hp,month_hp,dry_wt_hp,fresh_wt_hp,water_wt_hp,site_hp,location_hp
2020_October_ABCO_1.4_3,2020_October_ABCO_1.4,1.4,3,ABCO,EPI,-2.437,154.1560645,0,0,15,-85470,-85455,0,55,85525,0,284.3,0,0,0,0.4769,1,2020_October,2020,October,7.4749,7.8384,0.3635,1,seki,2020_October_ABCO_1.4,1.4,3,ABCO,HP,-2.437,154.1560645,0,36,65,0,65,14,58,44,1,281.1,316.2,279.2,0,2.8427,0,2020_October,2020,October,7.4749,7.8384,0.3635,1,seki
2020_October_ABCO_1.5_1,2020_October_ABCO_1.5,1.5,1,ABCO,EPI,-0.179,181.1521812,0,0,11,-8474,-8463,0,43,8517,0,266.1,0,0,95,0.4964,1,2020_October,2020,October,7.5121,8.0561,0.544,1,seki,2020_October_ABCO_1.5,1.5,1,ABCO,HP,-0.179,181.1521812,0,38,151,51,202,7,148,90,1,279.3,330.6,301.5,0,2.9658,1,2020_October,2020,October,7.5121,8.0561,0.544,1,seki
2020_October_ABCO_1.5_2,2020_October_ABCO_1.5,1.5,2,ABCO,EPI,-1.517,132.0783711,0,0,9,-34341,-34332,0,97,34438,0,270.4,0,0,100,0.5543,1,2020_October,2020,October,7.4885,7.8323,0.3438,1,seki,2020_October_ABCO_1.5,1.5,2,ABCO,HP,-1.517,132.0783711,0,40,41,38,79,9,78,31,1,275.2,304.3,289.3,0,3.132,1,2020_October,2020,October,7.4885,7.8323,0.3438,1,seki
2020_October_ABCO_1.5_3,2020_October_ABCO_1.5,1.5,3,ABCO,EPI,-1.083,177.1719375,0,0,12,-38019,-38007,0,107,38126,0,270.7,0,0,0,0.4683,1,2020_October,2020,October,7.4048,7.8922,0.4874,1,seki,2020_October_ABCO_1.5,1.5,3,ABCO,HP,-1.083,177.1719375,0,44,77,21,98,13,64,30,1,267.7,283.1,277.4,0,2.8301,1,2020_October,2020,October,7.4048,7.8922,0.4874,1,seki
2020_October_ABCO_1.5_4,2020_October_ABCO_1.5,1.5,4,ABCO,EPI,-2.518,146.7383247,0,0,9,-2121,-2112,0,74,2195,0,198.9,0,0,66,0.5458,1,2020_October,2020,October,12.3819,12.7778,0.3959,1,seki,2020_October_ABCO_1.5,1.5,4,ABCO,HP,-2.518,146.7383247,0,36,245,7,252,6,77,64,1,235.4,0,0,0,2.8105,1,2020_October,2020,October,12.3819,12.7778,0.3959,1,seki
2020_October_ABCO_1.6_1,2020_October_ABCO_1.6,1.6,1,ABCO,EPI,-0.106,143.6964116,0,0,17,-9167,-9150,0,59,9226,0,269.4,0,0,0,0.5061,1,2020_October,2020,October,7.5062,7.9587,0.4525,1,seki,2020_October_ABCO_1.6,1.6,1,ABCO,HP,-0.106,143.6964116,0,35,49,23,72,6,79,50,1,256.6,260.4,298.9,0,2.9992,1,2020_October,2020,October,7.5062,7.9587,0.4525,1,seki
2020_October_ABCO_1.6_2,2020_October_ABCO_1.6,1.6,2,ABCO,EPI,-1.278,164.9851632,0,0,12,-34582,-34570,0,51,34633,0,270.8,0,0,0,0.5095,1,2020_October,2020,October,7.4608,7.85,0.3892,1,seki,2020_October_ABCO_1.6,1.6,2,ABCO,HP,-1.278,164.9851632,0,32,50,62,112,9,104,33,1,270.2,283.2,280,0,2.2449,1,2020_October,2020,October,7.4608,7.85,0.3892,1,seki
2020_October_ABCO_2.1_1,2020_October_ABCO_2.1,2.1,1,ABCO,EPI,-0.155,174.6666667,0,0,11,-9450,-9439,0,36,9486,0,269.7,0,0,0,0.4611,1,2020_October,2020,October,7.3725,7.7786,0.4061,2,seki,2020_October_ABCO_2.1,2.1,1,ABCO,HP,-0.155,174.6666667,0,43,85,0,85,10,114,104,1,256.8,253.3,243.9,0,2.8984,0,2020_October,2020,October,7.3725,7.7786,0.4061,2,seki
2020_October_ABCO_2.1_2,2020_October_ABCO_2.1,2.1,2,ABCO,EPI,-0.995,180.3030303,0,0,15,-34940,-34925,0,57,34997,0,267.3,0,0,0,0.4495,1,2020_October,2020,October,7.5545,8.1138,0.5593,2,seki,2020_October_ABCO_2.1,2.1,2,ABCO,HP,-0.995,180.3030303,0,42,77,0,77,26,52,26,1,278.2,288.9,257.1,0,2.998,0,2020_October,2020,October,7.5545,8.1138,0.5593,2,seki
2020_October_ABCO_2.2_1,2020_October_ABCO_2.2,2.2,1,ABCO,EPI,-0.164,184.5419019,0,0,20,-9836,-9816,0,102,9938,0,270.6,0,0,0,0.5157,1,2020_October,2020,October,7.4501,7.8751,0.425,2,seki,2020_October_ABCO_2.2,2.2,1,ABCO,HP,-0.164,184.5419019,0,42,103,0,103,69,103,34,1,250.6,352.3,242.3,0,3.9639,0,2020_October,2020,October,7.4501,7.8751,0.425,2,seki
2020_October_ABCO_2.2_2,2020_October_ABCO_2.2,2.2,2,ABCO,EPI,-0.7282,180.3813038,0,0,14,-35288,-35274,0,69,35357,0,274.6,0,0,0,0.451,1,2020_October,2020,October,7.4967,8.0833,0.5866,2,seki,2020_October_ABCO_2.2,2.2,2,ABCO,HP,-0.7282,180.3813038,0,42,180,67,247,6,112,39,1,277.8,306.9,290.4,0,3.2078,0,2020_October,2020,October,7.4967,8.0833,0.5866,2,seki
2020_October_ABCO_2.3_1,2020_October_ABCO_2.3,2.3,1,ABCO,EPI,-0.192,181.2757974,0,0,15,-10177,-10162,0,66,10243,0,271.2,0,0,0,0.5095,1,2020_October,2020,October,7.5425,8.0256,0.4831,2,seki,2020_October_ABCO_2.3,2.3,1,ABCO,HP,-0.192,181.2757974,0,43,103,0,103,10,73,63,1,269.5,271.9,242.2,0,3.8551,0,2020_October,2020,October,7.5425,8.0256,0.4831,2,seki
2020_October_ABCO_2.3_2,2020_October_ABCO_2.3,2.3,2,ABCO,EPI,-0.798,161.9933238,0,0,13,-37160,-37147,0,70,37230,0,266.8,0,0,0,0.5112,1,2020_October,2020,October,7.4377,7.7774,0.3397,2,seki,2020_October_ABCO_2.3,2.3,2,ABCO,HP,-0.798,161.9933238,0,35,87,4,91,9,69,56,1,269.2,265.1,259.3,0,3.0835,1,2020_October,2020,October,7.4377,7.7774,0.3397,2,seki
2020_October_ABCO_2.4_1,2020_October_ABCO_2.4,2.4,1,ABCO,EPI,-0.192,197.2067039,0,0,26,-10548,-10522,0,64,10612,0,266.8,0,0,0,0.5423,1,2020_October,2020,October,7.5076,8.0371,0.5295,2,seki,2020_October_ABCO_2.4,2.4,1,ABCO,HP,-0.192,197.2067039,0,45,183,0,183,13,82,69,1,259.9,305.1,259.9,0,5.5036,0,2020_October,2020,October,7.5076,8.0371,0.5295,2,seki
2020_October_ABCO_2.4_2,2020_October_ABCO_2.4,2.4,2,ABCO,EPI,-2.182,155.8872305,0,0,34,-36581,-36547,0,53,36634,0,280.9,0,0,80,0.5316,1,2020_October,2020,October,7.7481,8.5941,0.846,2,seki,2020_October_ABCO_2.4,2.4,2,ABCO,HP,-2.182,155.8872305,0,41,88,0,88,21,69,48,1,267.9,322.6,292.3,0,3.3574,0,2020_October,2020,October,7.7481,8.5941,0.846,2,seki
2020_October_ABCO_2.5_1,2020_October_ABCO_2.5,2.5,1,ABCO,EPI,-4.888,30.42667771,0,0,17,-47,-30,0,92,139,0,317.5,0,0,0,2.2893,1,2020_October,2020,October,7.7413,7.8882,0.1469,2,seki,2020_October_ABCO_2.5,2.5,1,ABCO,HP,-0.152,158.0711354,0,46,102,0,102,11,114,103,1,255.7,344.8,242.2,0,3.8671,0,2020_October,2020,October,7.8691,8.7935,0.9244,2,seki
2020_October_ABCO_2.5_2,2020_October_ABCO_2.5,2.5,2,ABCO,EPI,-0.992,168.1119649,0,0,17,-36904,-36887,0,98,37002,0,266,0,0,0,0.5129,1,2020_October,2020,October,7.5712,8.1838,0.6126,2,seki,2020_October_ABCO_2.5,2.5,2,ABCO,HP,-0.992,168.1119649,0,37,41,25,66,19,167,123,1,285.5,384.7,234.8,0,4.208,1,2020_October,2020,October,7.5712,8.1838,0.6126,2,seki
2020_October_ARPA_1.1_1,2020_October_ARPA_1.1,1.1,1,ARPA,EPI,-0.072,115.8615538,0,9,19,14,33,6,62,42,1,270,377.4,306.1,0,0.4985,1,2020_October,2020,October,6.6265,7.0918,0.4653,1,seki,2020_October_ARPA_1.1,1.1,1,ARPA,HP,-0.072,115.8615538,0,39,118,5,123,16,99,78,1,255.4,251.4,229.6,0,4.9213,1,2020_October,2020,October,6.6265,7.0918,0.4653,1,seki
2020_October_ARPA_1.1_2,2020_October_ARPA_1.1,1.1,2,ARPA,EPI,-2.051,110.3286385,0,2,18,22,40,1,79,56,1,267.8,289.1,282.5,0,0.5764,1,2020_October,2020,October,7.7536,8.3881,0.6345,1,seki,2020_October_ARPA_1.1,1.1,2,ARPA,HP,-2.051,110.3286385,0,0,159,-71128,-70969,0,248,71376,0,229.1,0,0,0,4.3425,1,2020_October,2020,October,7.7536,8.3881,0.6345,1,seki
