individual_round,individual,sample,round,model_spp_gr,spp,model,mpa,lfm_notes,fh,ttfg,gti,tti,fd,gd,pfg,ignition,start_temp,temp_max,ignition_temp,prop_new,sample_wt,glow,year_month,year,month,dry_wt,fresh_wt,water_wt,site,lfm_outliers_out,lfm_n_as_imputed,gr,precip_2month,precip_2mo,season,ignition_no_double,prop_ignite,ros,hydration,bins5lfm,bins10lfm,bins20lfm,temp_change,gdw_gfw,gww_gdw,gdw_gww,flam_index,max_mpa_sample,location
2020_October_ARPA_2.1_5,2020_October_ARPA_2.1,2.1,5,"2020_October_EPI_ARPA_(80,90]",ARPA,EPI,2.556,0,9.5,18,16,34,1,87,70,1,273.3,268.1,258.4,NA,0.4903,1,2020_October,2020,October,12.3325,12.5355,0.203,2,84.75991649,84.75991649,"(80,90]",2020_October,0.61,Dry,1,23,10,moderate,"(80,85]","(80,90]","(80,100]",-5.199999999999989,0.9838059909856008,0.8475991649,60.75123152709359,9.122846128613576,-0.13,seki
2020_October_ARPA_2.4_2,2020_October_ARPA_2.4,2.4,2,"2020_October_EPI_ARPA_(100,110]",ARPA,EPI,4.224,0,2.5,17,21,38,3,80,56,1,276.9,315.9,285.1,NA,0.4581,1,2020_October,2020,October,7.6118,8.0281,0.4163,2,100.3858211,100.3858211,"(100,110]",2020_October,0.61,Dry,1,22,3.3333333333333335,hydrated,"(100,105]","(100,110]","(100,120]",39,0.9481446419451676,1.003858211,18.28441028104732,7.306559700767157,-0.046,seki
2020_October_ARPA_2.4_4,2020_October_ARPA_2.4,2.4,4,"2020_October_EPI_ARPA_(90,100]",ARPA,EPI,2.671,0,3.8,15,23,38,2,83,58,1,269.1,297.1,284.5,NA,0.5099,1,2020_October,2020,October,7.7544,8.2378,0.4834,2,90.79639369,90.79639369,"(90,100]",2020_October,0.61,Dry,1,23,5,hydrated,"(90,95]","(90,100]","(80,100]",28,0.9413192842749278,0.9079639369,16.041373603640878,7.594341226332783,-0.046,seki
2020_October_ARPA_2.5_4,2020_October_ARPA_2.5,2.5,4,"2020_October_EPI_ARPA_(90,100]",ARPA,EPI,3.564,0,11,23,20,43,4,115,91,1,266.1,321.8,278.6,NA,0.4812,1,2020_October,2020,October,7.5616,7.8713,0.3097,2,95.08750384,95.08750384,"(90,100]",2020_October,0.61,Dry,1,23,2.5,hydrated,"(95,100]","(90,100]","(80,100]",55.69999999999999,0.96065452974731,0.9508750384,24.41588634162093,8.519754932120472,-0.11,seki
2020_October_CECO_1.1_3,2020_October_CECO_1.1,1.1,3,"2020_October_EPI_CECO_(80,90]",CECO,EPI,3.827,0,9,5,27,60,6,117,56,1,268.1,367,326.7,NA,0.7787,1,2020_October,2020,October,12.4064,12.5882,0.1818,1,82.1880651,82.1880651,"(80,90]",2020_October,0.61,Dry,1,57,1.6666666666666667,moderate,"(80,85]","(80,90]","(80,100]",98.89999999999998,0.985557903433374,0.8218806510000001,68.24202420242024,11.626032016933266,-0.486,seki
2020_October_CECO_1.1_7,2020_October_CECO_1.1,1.1,7,"2020_October_EPI_CECO_(30,40]",CECO,EPI,8.25,0,11,9,19,28,9,169,141,1,268.6,294.9,266.6,NA,0.4911,1,2020_October,2020,October,12.7393,12.9376,0.1983,1,35.65905413,35.65905413,"(30,40]",2020_October,0.61,Dry,1,50,1.1111111111111112,dry,"(35,40]","(30,40]","(20,40]",26.299999999999955,0.9846725822409104,0.3565905413,64.24256177508825,15.956563746218851,-0.486,seki
2020_October_CECO_1.1_9,2020_October_CECO_1.1,1.1,9,"2020_October_EPI_CECO_(50,60]",CECO,EPI,6.78,no lfm,14,6,28,34,9,162,125,1,279.5,332.6,268,NA,0.5569,1,2020_October,2020,October,7.6299,7.8567,0.1984,1,NA,57.86986661688685,"(50,60]",2020_October,0.61,Dry,1,70,1.1111111111111112,dry,"(55,60]","(50,60]","(40,60]",53.10000000000002,0.9711329184008554,0.5786986661688686,38.45715725806452,15.714814878157163,-0.486,seki
2020_October_CECO_1.2_1,2020_October_CECO_1.2,1.2,1,"2020_October_EPI_CECO_(120,130]",CECO,EPI,0.152,0,4,5,29,34,2,75,44,1,276.1,315.4,278.85,NA,0.3094,1,2020_October,2020,October,7.3915,7.6188,0.2273,1,124.6845858,124.6845858,"(120,130]",2020_October,0.61,Dry,1,50,5,hydrated,"(120,125]","(120,130]","(120,140]",43.15000000000002,0.9701659053919252,1.246845858,32.51869775626925,12.298851093941058,-0.152,seki
2020_October_CECO_1.2_4,2020_October_CECO_1.2,1.2,4,"2020_October_EPI_CECO_(80,90]",CECO,EPI,3.229,0,8.5,13,19,32,7,119,93,1,270.6,299.5,279.5,NA,0.5768,1,2020_October,2020,October,12.3428,12.8743,0.5315,1,NA,86.71741609544593,"(80,90]",2020_October,0.61,Dry,1,57,1.4285714285714286,moderate,"(85,90]","(80,90]","(80,100]",28.899999999999977,0.9587162020459364,0.8671741609544593,23.22257761053622,14.347012273452355,-0.152,seki
2020_October_CECO_1.3_3,2020_October_CECO_1.3,1.3,3,"2020_October_EPI_CECO_(70,80]",CECO,EPI,2.003,0,7,4,25,29,3,120,92,1,266.1,274.4,239.9,NA,0.5468,1,2020_October,2020,October,12.4299,12.608,0.1781,1,77.26681128,77.26681128,"(70,80]",2020_October,0.61,Dry,1,33,3.3333333333333335,moderate,"(75,80]","(70,80]","(60,80]",8.299999999999955,0.9858740482233502,0.7726681128,69.79169006176305,14.313439433426364,-0.58,seki
