model.spp.gr.sample,individual,sample,round,model.spp.gr,spp,model,mpa,lfm.notes,fh,ttfg,gti,tti,fd,gd,pfg,ignition,start.temp,temp.max,ignition.temp,prop.new,sample.wt,glow,year.month,year,month,dry.wt,fresh.wt,water.wt,site,bottle.wt,ttms,lfm.outliers.out,lfm.NAs.imputed,gr,precip.2month,precip.2mo,season,ignition_no_double,prop.ignite,ros,hydration,bins5lfm,bins10lfm,bins20lfm,temp.change,gdw.gfw,gww.gdw,gdw.gww,dw.flam.sample,ww.flam.sample,gww.gdw.saturated,gdw.gww.saturated,RWC,RWD,max.mpa.sample,flam.index,mean.wt,dry.norm.fh,dry.norm.gd,dry.norm.fd,dry.norm.pfg,dry.norm.ttfg,dry.norm.tti,dry.norm.gti,fh_nas_imputed
"2020_October_HP_ARPA_(100,110]_2.2",2020_October_ARPA_2.2,2.2,1,"2020_October_HP_ARPA_(100,110]",ARPA,HP,0.098,0,26,55,0.5,55,20,157,94,1,309.1,293.2,281,NA,4.4889,0,2020_October,2020,October,7.53,7.9603,0.4303,2,7.1294,3,107.4138792,107.4138792,"(100,110]",2020_October,0.61,Dry,1,100,0.15873015873015872,hydrated,"(105,110]","(100,110]","(100,120]",-15.900000000000034,0.9459442483323492,1.074138792,17.499419009993026,4.246249136339083,0.24265086366091726,1.215851941,12.636829913964261,88.34453898363273,11.65546101636727,-0.098,20.639526774668358,3.652345,6.123050995169818,36.97380793237159,4.710039227053706,22.137184367152418,12.95260787439769,12.95260787439769,0.11775098067634265,26
"2020_October_HP_ARPA_(70,80]_2.2",2020_October_ARPA_2.2,2.2,5,"2020_October_HP_ARPA_(70,80]",ARPA,HP,4.78,0,33,88,0.5,88,18,184,166,1,237.4,353.7,275.6,NA,4.4172,0,2020_October,2020,October,12.7854,13.1765,0.3911,2,12.2902,6,78.97819063,78.97819063,"(70,80]",2020_October,0.61,Dry,1,60,0.5555555555555556,moderate,"(75,80]","(70,80]","(60,80]",116.29999999999998,0.9703183698250673,0.7897819063,32.690871899769874,4.286090303191287,0.13110969680871332,1.215851941,12.636829913964261,64.95707903796487,35.042920962035126,-0.098,16.501185937330415,3.652345,7.699324481201258,42.929566804273684,4.1996315352006865,38.729935269072996,20.531531949870022,20.531531949870022,0.1166564315333524,33
"2020_October_HP_ARPA_(100,110]_2.3",2020_October_ARPA_2.3,2.3,1,"2020_October_HP_ARPA_(100,110]",ARPA,HP,0.124,0,33,54,0.5,54,39,123,84,1,252.7,374.1,256.2,NA,4.3691,0,2020_October,2020,October,7.5448,7.8921,0.3473,2,7.2049,2,102.1771109,102.1771109,"(100,110]",2020_October,0.61,Dry,1,100,0.2564102564102564,hydrated,"(100,105]","(100,110]","(100,120]",121.40000000000003,0.9559939686521965,1.0217711090000001,21.724157788655344,4.176833248438312,0.1922667515616885,1.2382265590000001,0.7700605702243144,82.51891397202698,17.48108602797302,-0.124,22.130306330531166,3.652345,7.9007223983237695,29.44814712102496,9.337217379837181,20.110929741187775,12.928454833620714,12.928454833620714,0.11970791512611771,33
"2020_October_HP_ARPA_(70,80]_2.3",2020_October_ARPA_2.3,2.3,5,"2020_October_HP_ARPA_(70,80]",ARPA,HP,4.467,0,35,108,14,50,17,128,97,1,235.8,276.5,250.6,NA,3.0901,1,2020_October,2020,October,12.5468,12.8862,0.3394,2,12.1095,4,77.61262291,77.61262291,"(70,80]",2020_October,0.61,Dry,1,60,0.5882352941176471,moderate,"(75,80]","(70,80]","(60,80]",40.69999999999999,0.9736617466747373,0.7761262291,36.9675898644667,3.0087121633996055,0.08138783660039461,1.2382265590000001,0.7700605702243144,62.68047018203232,37.31952981796768,-0.124,23.537828074045326,3.652345,11.632884137528391,42.5431191315324,5.650258009656647,32.2397074668644,35.895756767230466,16.618405910754845,4.653153655011357,35
"2020_October_HP_ARPA_(60,70]_2.3",2020_October_ARPA_2.3,2.3,8,"2020_October_HP_ARPA_(60,70]",ARPA,HP,7.407,missing dry wt,33,58,35,93,6,158,117,1,249.5,251.8,243.7,NA,3.2584,0,2020_October,2020,October,12.6245,13.1913,13.1913,2,12.2784,1,NA,61.790027317866716,"(60,70]",2020_October,0.61,Dry,1,50,1.6666666666666667,moderate,"(60,65]","(60,70]","(60,80]",2.3000000000000114,0.9570322864312084,0.6179002731786671,0.9570322864312084,3.1183940021074497,0.1400059978925503,1.2382265590000001,0.7700605702243144,49.90203680315882,50.09796319684118,-0.124,15.979389859622234,3.652345,10.582370277039459,50.6671061749162,1.9240673230980836,37.51931280041263,18.599317456614806,29.823043508020294,11.223726051405487,33
"2020_October_HP_ARPA_(100,110]_2.3",2020_October_ARPA_2.3,2.3,2,"2020_October_HP_ARPA_(100,110]",ARPA,HP,1.262,0,16,54,0.5,54,38,188,150,1,245.5,250.7,231.7,NA,4.8488,0,2020_October,2020,October,7.829,8.4882,0.6592,2,7.2285,8,109.7751873,109.7751873,"(100,110]",2020_October,0.61,Dry,1,100,0.2631578947368421,hydrated,"(105,110]","(100,110]","(100,120]",5.199999999999989,0.9223392474258381,1.097751873,11.876516990291261,4.4722385429184035,0.3765614570815963,1.2382265590000001,0.7700605702243144,88.65517097990143,11.344829020098572,-0.124,18.698729122522185,3.652345,3.5776266955472016,42.03711367267962,8.496863401924603,33.54025027075502,12.074490097471806,12.074490097471806,0.11180083423585005,16
"2020_October_HP_ARPA_(40,50]_2.3",2020_October_ARPA_2.3,2.3,6,"2020_October_HP_ARPA_(40,50]",ARPA,HP,5.401,0,31,88,0.5,88,18,189,171,1,237.4,345,272.9,NA,4.4172,0,2020_October,2020,October,12.8732,13.1675,0.2943,2,12.2532,5,47.46774194,47.46774194,"(40,50]",2020_October,0.61,Dry,1,100,0.5555555555555556,dry,"(45,50]","(40,50]","(40,60]",107.6,0.977649515853427,0.4746774194,43.741760108732585,4.3184734414277575,0.09872655857224277,1.2382265590000001,0.7700605702243144,38.33526392644595,61.66473607355405,-0.124,16.24717233105959,3.652345,7.178462579533868,43.765465404254876,4.168139562309988,39.59732584194489,20.377571193515497,20.377571193515497,0.11578165450861078,31
"2020_October_HP_ARPA_(120,130]_2.3",2020_October_ARPA_2.3,2.3,4,"2020_October_HP_ARPA_(120,130]",ARPA,HP,0.895,0,27,52,0.5,52,21,245,224,1,260.2,360.1,258.5,NA,5.2914,0,2020_October,2020,October,7.6448,8.2285,0.5837,2,7.1734,15,123.8226559,123.8226559,"(120,130]",2020_October,0.61,Dry,1,90,0.47619047619047616,hydrated,"(120,125]","(120,130]","(120,140]",99.90000000000003,0.9290636203439265,1.2382265590000001,13.097138941236937,4.9160472406878535,0.37535275931214684,1.2382265590000001,0.7700605702243144,100,0,-0.124,21.554614669209034,3.652345,5.492217360430035,49.83678715945773,4.271724613667805,45.56506254578992,10.57760380527266,10.57760380527266,0.1017077288968525,27
"2020_October_HP_ARPA_(100,110]_2.4",2020_October_ARPA_2.4,2.4,2,"2020_October_HP_ARPA_(100,110]",ARPA,HP,4.224,0,20,47,0.5,47,32,40,8,1,219.2,260.1,223.1,NA,4.2035,0,2020_October,2020,October,7.6118,8.0281,0.4163,2,7.1971,24,100.3858211,100.3858211,"(100,110]",2020_October,0.61,Dry,1,100,0.3125,hydrated,"(100,105]","(100,110]","(100,120]",40.900000000000034,0.9481446419451676,1.003858211,18.28441028104732,3.985526002416512,0.217973997583488,1.094005896,16.041373603640878,91.75985382440754,8.240146175592457,-0.046,21.364825724809524,3.652345,5.0181582024238605,10.036316404847721,8.029053123878178,2.0072632809695445,11.792671775696073,11.792671775696073,0.12545395506059653,20
"2020_October_HP_ARPA_(100,110]_2.4",2020_October_ARPA_2.4,2.4,1,"2020_October_HP_ARPA_(100,110]",ARPA,HP,0.046,0,24,48,0.5,48,45,110,65,1,242.8,311.8,274.8,NA,3.495,0,2020_October,2020,October,7.5427,7.8767,0.334,2,7.2374,4,109.4005896,109.4005896,"(100,110]",2020_October,0.61,Dry,1,100,0.2222222222222222,hydrated,"(105,110]","(100,110]","(100,120]",69,0.957596455368365,1.094005896,22.582934131736526,3.3467996115124357,0.14820038848756445,1.094005896,16.041373603640878,100,0,-0.046,22.00285337828582,3.652345,7.171029875061531,32.86722026069868,13.44568101574037,19.42153924495831,14.342059750123061,14.342059750123061,0.14939645573044855,24
"2020_October_HP_ARPA_(50,60]_2.4",2020_October_ARPA_2.4,2.4,8,"2020_October_HP_ARPA_(50,60]",ARPA,HP,6.578,0,42,28,14,42,18,168,136,1,253.2,264.8,247.4,NA,2.9024,0,2020_October,2020,October,7.415,7.5709,0.1559,2,7.1395,1,56.58802178,56.58802178,"(50,60]",2020_October,0.61,Dry,1,100,0.5555555555555556,dry,"(55,60]","(50,60]","(40,60]",11.600000000000023,0.9794079964072964,0.5658802178,47.56254008980115,2.842633768772537,0.05976623122746316,1.094005896,16.041373603640878,51.72551810452034,48.27448189547966,-0.046,27.394738621805754,3.652345,14.775030276987037,59.10012110794815,6.332155832994444,47.84295518262469,9.850020184658025,14.775030276987037,4.925010092329012,42
"2020_October_HP_ARPA_(70,80]_2.4",2020_October_ARPA_2.4,2.4,7,"2020_October_HP_ARPA_(70,80]",ARPA,HP,6.954,0,31,61,0.5,61,16,182,166,1,215.9,238.2,213.8,NA,3.1764,0,2020_October,2020,October,7.6379,7.9443,0.3064,2,7.2415,4,77.29566095,77.29566095,"(70,80]",2020_October,0.61,Dry,1,60,0.625,moderate,"(75,80]","(70,80]","(60,80]",22.299999999999983,0.9614314665861058,0.7729566095,24.927872062663184,3.0538909104641063,0.12250908953589379,1.094005896,16.041373603640878,70.65378827720686,29.346211722793143,-0.046,20.22936546829119,3.652345,10.150984730259689,59.5961039002343,5.239217925295323,54.356885974938976,19.974518340188418,19.974518340188418,0.16372556016547885,31
"2020_October_HP_ARPA_(90,100]_2.4",2020_October_ARPA_2.4,2.4,4,"2020_October_HP_ARPA_(90,100]",ARPA,HP,2.671,0,36,50,0.5,50,22,192,170,1,259.7,312.7,246,NA,6.1003,1,2020_October,2020,October,7.7544,8.2378,0.4834,2,7.222,8,90.79639369,90.79639369,"(90,100]",2020_October,0.61,Dry,1,85,0.45454545454545453,hydrated,"(90,95]","(90,100]","(80,100]",53,0.9413192842749278,0.9079639369,16.041373603640878,5.742330029862342,0.35796997013765797,1.094005896,16.041373603640878,82.99442811229602,17.00557188770398,-0.046,23.70398704961828,3.652345,6.269232143186833,33.43590476366311,3.831197420836398,29.60470734282671,8.707266865537267,8.707266865537267,0.08707266865537268,36
"2020_October_HP_ARPA_(90,100]_2.4",2020_October_ARPA_2.4,2.4,3,"2020_October_HP_ARPA_(90,100]",ARPA,HP,1.218,0,31,49,0.5,49,30,251,221,1,295.4,423,292.3,NA,4.5096,0,2020_October,2020,October,7.6699,8.1149,0.445,2,7.2136,4,97.52355906,97.52355906,"(90,100]",2020_October,0.61,Dry,1,85,0.3333333333333333,hydrated,"(95,100]","(90,100]","(80,100]",127.60000000000002,0.9451626021269516,0.9752355906,17.235730337078653,4.262305270551701,0.24729472944829922,1.094005896,16.041373603640878,89.14354064870597,10.856459351294035,-0.046,23.121581622161287,3.652345,7.27305953756509,58.888320771897995,7.038444713772669,51.849876058125325,11.496126365828692,11.496126365828692,0.11730741189621113,31
"2020_October_HP_ARPA_(90,100]_2.4",2020_October_ARPA_2.4,2.4,5,"2020_October_HP_ARPA_(90,100]",ARPA,HP,2.804,0,35,58,0.5,58,18,272,254,1,244.7,261.2,243.1,NA,3.344,0,2020_October,2020,October,12.7364,13.1992,0.4628,2,12.2535,4,95.83764755,95.83764755,"(90,100]",2020_October,0.61,Dry,1,85,0.5555555555555556,hydrated,"(95,100]","(90,100]","(80,100]",16.5,0.9649372689253894,0.9583764755,27.520311149524634,3.226750227286502,0.11724977271349779,1.094005896,16.041373603640878,87.60249638544909,12.397503614550914,-0.046,21.499198219362267,3.652345,10.846826538982796,84.29533767438059,5.578367934334009,78.71696974004658,17.97474112174292,17.97474112174292,0.15495466484261136,35
"2020_October_HP_ARPA_(110,120]_2.5",2020_October_ARPA_2.5,2.5,1,"2020_October_HP_ARPA_(110,120]",ARPA,HP,0.11,0,15,51,0.5,51,9,37,28,1,269.8,271.8,271.7,NA,2.3286,0,2020_October,2020,October,7.6426,8.1063,0.4637,2,7.2272,4,111.6273471,111.6273471,"(110,120]",2020_October,0.61,Dry,1,90,1.1111111111111112,hydrated,"(110,115]","(110,120]","(100,120]",2,0.9427975771930475,1.116273471,16.48177701099849,2.19539843825173,0.1332015617482698,1.116273471,16.33340471092077,100,0,-0.11,19.107539952304666,3.652345,6.832472747837521,16.85343277799922,4.099483648702512,12.753949129296705,23.23040734264757,23.23040734264757,0.22774909159458404,15
"2020_October_HP_ARPA_(110,120]_2.5",2020_October_ARPA_2.5,2.5,3,"2020_October_HP_ARPA_(110,120]",ARPA,HP,2.164,0,34,60,0.5,60,17,86,69,1,241.1,320.1,262.7,NA,2.3603,0,2020_October,2020,October,7.6277,8.0947,0.467,2,7.206,4,110.7422338,110.7422338,"(110,120]",2020_October,0.61,Dry,1,90,0.5882352941176471,hydrated,"(110,115]","(110,120]","(100,120]",79.00000000000003,0.942307929880045,1.107422338,16.33340471092077,2.2241294068958704,0.1361705931041297,1.116273471,16.33340471092077,99.20708202515367,0.7929179748463326,-0.11,20.908128311582416,3.652345,15.286880293288537,38.66681485949453,7.643440146644268,31.023374712850263,26.976847576391535,26.976847576391535,0.22480706313659612,34
"2020_October_HP_ARPA_(70,80]_2.5",2020_October_ARPA_2.5,2.5,7,"2020_October_HP_ARPA_(70,80]",ARPA,HP,4.637,0,24,44,0.5,44,19,170,151,1,224.8,242,220.1,NA,4.4791,0,2020_October,2020,October,12.6968,13.0552,0.3584,2,7.2585,2,79.76852882,79.76852882,"(70,80]",2020_October,0.61,Dry,1,60,0.5263157894736842,moderate,"(75,80]","(70,80]","(60,80]",17.19999999999999,0.9725473374594031,0.7976852882,35.426339285714285,4.356136779214412,0.12296322078558752,1.116273471,16.33340471092077,71.4596654783351,28.540334521664903,-0.11,23.20087403780743,3.652345,5.509468874925496,39.02540453072226,4.361662859316017,34.66374167140624,10.100692937363409,10.100692937363409,0.11478060156094783,24
"2020_October_HP_ARPA_(70,80]_2.5",2020_October_ARPA_2.5,2.5,5,"2020_October_HP_ARPA_(70,80]",ARPA,HP,4.637,0,35,78,0.5,78,13,165,152,1,247.2,393.8,300.2,NA,4.4791,0,2020_October,2020,October,12.4462,12.7065,0.2603,2,12.2475,4,79.76852882,79.76852882,"(70,80]",2020_October,0.61,Dry,1,60,0.7692307692307693,moderate,"(75,80]","(70,80]","(60,80]",146.60000000000002,0.9795144217526462,0.7976852882,47.81482904341145,4.387343046472278,0.09175695352772184,1.116273471,16.33340471092077,71.4596654783351,28.540334521664903,-0.11,17.979464354232682,3.652345,7.977493355150877,37.60818295999699,2.963068960484611,34.645113999512375,17.778413762907668,17.778413762907668,0.11396419078786967,35
"2020_October_HP_ARPA_(90,100]_2.5",2020_October_ARPA_2.5,2.5,4,"2020_October_HP_ARPA_(90,100]",ARPA,HP,3.564,0,31,53,0.5,53,23,198,175,1,246.1,274.5,245.8,NA,2.5001,0,2020_October,2020,October,7.5616,7.8713,0.3097,2,7.2359,3,95.08750384,95.08750384,"(90,100]",2020_October,0.61,Dry,1,85,0.43478260869565216,hydrated,"(95,100]","(90,100]","(80,100]",28.400000000000006,0.9606545297473099,0.9508750384,24.415886341620926,2.40173238982125,0.09836761017875029,1.116273471,16.33340471092077,85.18298276390732,14.817017236092681,-0.11,22.039760312698427,3.652345,12.907349766102454,82.44049205446085,9.576420794205047,72.8640712602558,22.067404438820326,22.067404438820326,0.20818306074358797,31
"2020_October_HP_ARPA_(90,100]_2.5",2020_October_ARPA_2.5,2.5,2,"2020_October_HP_ARPA_(90,100]",ARPA,HP,1.998,0,32,58,0.5,58,33,277,244,1,217.8,232.8,218.1,NA,4.4435,0,2020_October,2020,October,7.6606,8.1113,0.4507,2,7.2083,8,99.64625249,99.64625249,"(90,100]",2020_October,0.61,Dry,1,85,0.30303030303030304,hydrated,"(95,100]","(90,100]","(80,100]",15,0.9444355405422065,0.9964625249,16.99711559795873,4.196599324399295,0.24690067560070528,1.116273471,16.33340471092077,89.26688224591875,10.733117754081249,-0.11,21.0248788712217,3.652345,7.625221644094057,66.00582485668917,7.863509820471996,58.142315036217184,13.820714229920478,13.820714229920478,0.11914408818896964,32
"2020_October_HP_ABCO_(180,190]_1.1",2020_October_ABCO_1.1,1.1,1,"2020_October_HP_ABCO_(180,190]",ABCO,HP,0.208,0,44,169,0.5,81.5,26,62,36,1,270.9,324.7,276.5,NA,6.8053,0,2020_October,2020,October,7.646,8.462,0.816,1,7.2104,2,187.3278237,187.3278237,"(180,190]",2020_October,0.61,Dry,1,100,0.38461538461538464,hydrated,"(185,190]","(180,190]","(180,200]",53.80000000000001,0.9035688962420232,1.873278237,9.370098039215687,6.14905740959584,0.65624259040416,1.873278237,9.215439010017677,100,0,-0.208,16.236286532505844,3.367958333333333,7.155568255280283,10.082846177894943,4.228290332665622,5.8545558452293225,27.483887162326543,13.25406392739416,0.08131327562818504,44
"2020_October_HP_ABCO_(120,130]_1.1",2020_October_ABCO_1.1,1.1,5,"2020_October_HP_ABCO_(120,130]",ABCO,HP,2.509,0,53,99,19,118,13,112,80,1,262.7,334.1,280.8,NA,2.7206,1,2020_October,2020,October,12.8031,13.5592,0.7561,1,12.1776,3,120.8792966,120.8792966,"(120,130]",2020_October,0.61,Dry,1,100,0.7692307692307693,hydrated,"(120,125]","(120,130]","(120,140]",71.40000000000003,0.9442371231341082,1.208792966,16.933077635233435,2.568891517198655,0.1517084828013453,1.873278237,9.215439010017677,64.52821274088181,35.47178725911819,-0.208,14.233328609737658,3.367958333333333,20.631466780580855,43.59857130990671,5.060548455614172,31.141836649933367,38.53802285429254,45.93420905865172,7.396186204359174,53
"2020_October_HP_ABCO_(130,140]_1.1",2020_October_ABCO_1.1,1.1,6,"2020_October_HP_ABCO_(130,140]",ABCO,HP,3.01,0,51,180,0.5,81.5,15,105,90,1,260.6,279.6,264.8,30,4.7264,0,2020_October,2020,October,12.6961,13.3797,0.6836,1,12.1941,2,136.1752988,136.1752988,"(130,140]",2020_October,0.61,Dry,1,100,0.6666666666666666,hydrated,"(135,140]","(130,140]","(120,140]",19,0.9489076735651771,1.361752988,18.572410766530133,4.484917228338453,0.24148277166154664,1.873278237,9.215439010017677,72.69357862080368,27.306421379196323,-0.208,16.844513824913673,3.367958333333333,11.371447320755614,23.411803307438028,3.3445433296340044,20.067259977804024,40.13451995560805,18.17201875767809,0.11148477765446681,51
"2020_October_HP_ABCO_(100,110]_1.1",2020_October_ABCO_1.1,1.1,8,"2020_October_HP_ABCO_(100,110]",ABCO,HP,3.62,0,38,57,46,103,18,164,100,1,235.7,332.6,235.2,95,4.3386,1,2020_October,2020,October,7.7071,8.1926,0.4855,1,7.232,4,102.1890128,102.1890128,"(100,110]",2020_October,0.61,Dry,1,100,0.5555555555555556,hydrated,"(100,105]","(100,110]","(100,120]",96.90000000000003,0.940739203671606,1.021890128,15.874562306900103,4.0814911090496295,0.25710889095037004,1.873278237,9.215439010017677,54.55089947751311,45.44910052248689,-0.208,13.961663427705579,3.367958333333333,9.310322866009686,40.181393421726014,4.4101529365309045,24.50084964739391,13.965484299014529,25.23587513681573,11.2703908378012,38
"2020_October_HP_ABCO_(140,150]_1.1",2020_October_ABCO_1.1,1.1,4,"2020_October_HP_ABCO_(140,150]",ABCO,HP,2.187,0,48,224,0.5,81.5,14,118,104,1,230.4,273.7,239,NA,7.2782,0,2020_October,2020,October,7.8193,8.6678,0.8485,1,7.2297,2,143.9111262,143.9111262,"(140,150]",2020_October,0.61,Dry,1,100,0.7142857142857143,hydrated,"(140,145]","(140,150]","(140,160]",43.29999999999998,0.90210895498281,1.4391112620000002,9.215439010017677,6.565729396155888,0.7124706038441122,1.873278237,9.215439010017677,76.82314530620366,23.176854693796344,-0.208,16.591456996487807,3.367958333333333,7.310688135898976,17.972108334084982,2.1322840396372014,15.839824294447782,34.11654463419522,12.412939230745136,0.07615300141561433,48
"2020_October_HP_ABCO_(180,190]_1.1",2020_October_ABCO_1.1,1.1,2,"2020_October_HP_ABCO_(180,190]",ABCO,HP,0.698,0,44,168,0.5,81.5,15,153,138,1,265.3,289.95,270.3,NA,7.8281,0,2020_October,2020,October,7.6631,8.4925,0.8294,1,7.2089,2,182.6067812,182.6067812,"(180,190]",2020_October,0.61,Dry,1,100,0.6666666666666666,hydrated,"(180,185]","(180,190]","(180,200]",24.649999999999977,0.9023373564910215,1.826067812,9.23932963588136,7.063587060347365,0.7645129396526347,1.873278237,9.215439010017677,97.47979643026194,2.520203569738058,-0.208,16.236286532505844,3.367958333333333,6.229129707624248,21.660382846966133,2.1235669457809934,19.53681590118514,23.783949792747126,11.538047072076731,0.07078556485936645,44
"2020_October_HP_ABCO_(140,150]_1.2",2020_October_ABCO_1.2,1.2,3,"2020_October_HP_ABCO_(140,150]",ABCO,HP,1.784,0,40,74,0.5,74,14,57,43,1,265.6,287,265.1,NA,2.9943,0,2020_October,2020,October,7.4956,7.7905,0.2949,1,7.2937,1,146.0624071,146.0624071,"(140,150]",2020_October,0.61,Dry,1,100,0.7142857142857143,hydrated,"(145,150]","(140,150]","(140,160]",21.399999999999977,0.9621462037096463,1.460624071,25.41742963716514,2.880954377767794,0.11334562223220601,2.0020790020000003,16.146672318779146,72.95536637369916,27.044633626300836,-0.261,16.66104231042265,3.367958333333333,13.884287897329562,19.785110253694626,4.859500764065347,14.925609489629279,25.68593261005969,25.68593261005969,0.17355359871661952,40
"2020_October_HP_ABCO_(160,170]_1.2",2020_October_ABCO_1.2,1.2,2,"2020_October_HP_ABCO_(160,170]",ABCO,HP,1.223,0,47,67,0.5,67,10,62,52,1,263.6,294.8,258.8,NA,2.7272,0,2020_October,2020,October,7.5323,7.9934,0.4611,1,7.2529,2,165.0322119,165.0322119,"(160,170]",2020_October,0.61,Dry,1,100,1,hydrated,"(165,170]","(160,170]","(160,180]",31.19999999999999,0.9423149098005855,1.650322119,16.335502060290608,2.569881222008157,0.15731877799184302,2.0020790020000003,16.146672318779146,82.43041944655486,17.569580553445135,-0.261,18.260059515800133,3.367958333333333,18.288782998022477,24.12562863568922,3.8912304251111647,20.234398210578057,26.071243848244805,26.071243848244805,0.19456152125555826,47
"2020_October_HP_ABCO_(200,210]_1.2",2020_October_ABCO_1.2,1.2,1,"2020_October_HP_ABCO_(200,210]",ABCO,HP,0.261,0,20,100,44,144,6,108,58,1,267,289.2,288.9,NA,3.2049,1,2020_October,2020,October,7.3531,7.642,0.2889,1,7.2088,2,200.2079002,200.2079002,"(200,210]",2020_October,0.61,Dry,1,100,1.6666666666666667,hydrated,"(200,205]","(200,210]","(200,220]",22.19999999999999,0.9621957602721801,2.0020790020000003,25.45205953617169,3.08374119209631,0.12115880790369005,2.0020790020000003,16.146672318779146,100,0,-0.261,10.407139859980644,3.367958333333333,6.485628577151805,35.022394316619746,1.9456885731455413,18.808322873740234,32.42814288575902,46.69652575549299,14.268382869733971,20
"2020_October_HP_ABCO_(120,130]_1.2",2020_October_ABCO_1.2,1.2,6,"2020_October_HP_ABCO_(120,130]",ABCO,HP,2.991,0,32,52,0.5,52,16,74,58,1,273.7,275.6,264.7,10,1.7292,1,2020_October,2020,October,12.5154,12.9354,0.42,1,12.1722,2,122.3776224,122.3776224,"(120,130]",2020_October,0.61,Dry,1,100,0.625,hydrated,"(120,125]","(120,130]","(120,140]",1.900000000000034,0.9675309615473816,1.223776224,29.798571428571428,1.6730545387077322,0.05614546129226783,2.0020790020000003,16.146672318779146,61.12527141923443,38.87472858076557,-0.261,19.03986704415149,3.367958333333333,19.126692680751944,44.23047682423887,9.563346340375972,34.6671304838629,31.080875606221905,31.080875606221905,0.2988545731367491,32
"2020_October_HP_ABCO_(100,110]_1.2",2020_October_ABCO_1.2,1.2,7,"2020_October_HP_ABCO_(100,110]",ABCO,HP,3.822,0,26,45,18,63,28,106,60,1,235.3,236.4,227.7,66,1.8713,1,2020_October,2020,October,7.4046,7.5714,0.1668,1,7.247,4,105.8375635,105.8375635,"(100,110]",2020_October,0.61,Dry,1,100,0.35714285714285715,hydrated,"(105,110]","(100,110]","(100,120]",1.0999999999999943,0.9779697281876536,1.058375635,44.39208633093525,1.8300747523575562,0.04122524764244373,2.0020790020000003,16.146672318779146,52.86382974611507,47.13617025388493,-0.261,16.384161135850377,3.367958333333333,14.207069938813174,57.921131289007555,15.299921472568032,32.78554601264578,24.58915950948434,34.424823313278075,9.835663803793736,26
"2020_October_HP_ABCO_(110,120]_1.2",2020_October_ABCO_1.2,1.2,8,"2020_October_HP_ABCO_(110,120]",ABCO,HP,3.467,0,34.5,60,15,75,11,95,69,1,236.1,266.8,243,85,2.6695,1,2020_October,2020,October,7.618,8.0898,0.4718,1,7.2014,2,113.25012,113.25012,"(110,120]",2020_October,0.61,Dry,1,92,0.9090909090909091,hydrated,"(110,115]","(110,120]","(100,120]",30.700000000000017,0.9416796459739425,1.1325011999999999,16.146672318779146,2.5138138149274396,0.1556861850725606,2.0020790020000003,16.146672318779146,56.56625931687383,43.43374068312617,-0.261,15.963959870572188,3.367958333333333,13.72416676013686,37.79118383226092,4.375821285840738,27.44833352027372,23.868116104585845,29.835145130732304,5.967029026146461,34.5
"2020_October_HP_ABCO_(150,160]_1.2",2020_October_ABCO_1.2,1.2,5,"2020_October_HP_ABCO_(150,160]",ABCO,HP,2.674,0,29,57,0.5,57,13,107,94,1,267,343.6,228.8,NA,3.0461,0,2020_October,2020,October,7.4313,7.7997,0.3684,1,7.197,2,157.234315,157.234315,"(150,160]",2020_October,0.61,Dry,1,100,0.7692307692307693,hydrated,"(155,160]","(150,160]","(140,160]",76.60000000000002,0.9527674141313128,1.57234315,20.171824104234528,2.902224820185392,0.14387517981460807,2.0020790020000003,16.146672318779146,78.53551974868572,21.464480251314285,-0.261,17.712165409720722,3.367958333333333,9.992334087387311,36.86826715001525,4.479322177104656,32.38894497291059,19.640104930381955,19.640104930381955,0.17228162219633295,29
"2020_October_HP_ABCO_(140,150]_1.2",2020_October_ABCO_1.2,1.2,4,"2020_October_HP_ABCO_(140,150]",ABCO,HP,2.738,0,28,75,37,112,12,163,114,1,270,287.3,275.5,40,3.4589,1,2020_October,2020,October,7.4728,7.8501,0.3773,1,7.2039,2,140.3123838,140.3123838,"(140,150]",2020_October,0.61,Dry,1,100,0.8333333333333334,hydrated,"(140,145]","(140,150]","(140,160]",17.30000000000001,0.9519369180010446,1.403123838,19.80598992843891,3.292654605673813,0.1662453943261868,2.0020790020000003,16.146672318779146,70.08334019778106,29.916659802218945,-0.261,12.492965971241947,3.367958333333333,8.50377684672761,49.504129500592875,3.64447579145469,34.62252001881956,22.77797369659181,34.01510738691044,11.237133690318627,28
"2020_October_HP_ABCO_(190,200]_1.3",2020_October_ABCO_1.3,1.3,1,"2020_October_HP_ABCO_(190,200]",ABCO,HP,0.112,0,33,109,12,121,15,70,43,1,248.7,288.8,257.1,NA,4.904,1,2020_October,2020,October,7.4405,8.0189,0.5784,1,7.139,2,191.840796,191.840796,"(190,200]",2020_October,0.61,Dry,1,100,0.6666666666666666,hydrated,"(190,195]","(190,200]","(180,200]",40.10000000000002,0.9278704061654341,1.9184079600000001,12.86393499308437,4.550276471835289,0.35372352816471064,1.9184079600000001,7.876458752515091,100,0,-0.112,12.527976971421712,3.367958333333333,7.252306580547164,15.383680625403075,3.296502991157802,9.449975241319033,23.95458840241336,26.591790795339602,2.6372023929262416,33
