individual,sample,round,model_spp_gr,spp,model,mpa,lfm_notes,fh,ttfg,gti,tti,fd,gd,pfg,ignition,start_temp,temp_max,ignition_temp,prop_new,sample_wt,glow,year_month,year,month,dry_wt,fresh_wt,water_wt,site,lfm_outliers_out,lfm_n_as_imputed,gr,precip_2month,precip_2mo,season,ignition_no_double,prop_ignite,ros,hydration,bins5lfm,bins10lfm,bins20lfm,temp_change,gdw_gfw,gww_gdw,gdw_gww,flam_index,max_mpa_sample,location
2020_October_ABCO_1.2,1.2,8,"2020_October_HP_ABCO_(110,120]",ABCO,HP,3.467,0,34.5,60,15,75,11,95,69,1,236.1,266.8,243,85,2.6695,1,2020_October,2020,October,7.618,8.0898,0.4718,1,113.25012,113.25012,"(110,120]",2020_October,0.61,Dry,1,92,0.9090909090909092,hydrated,"(110,115]","(110,120]","(100,120]",30.700000000000017,0.9416796459739424,1.1325012,16.146672318779146,15.963959870572188,-0.261,seki
2020_October_ABCO_1.2,1.2,5,"2020_October_HP_ABCO_(150,160]",ABCO,HP,2.674,0,29,57,0.5,57,13,107,94,1,267,343.6,228.8,NA,3.0461,0,2020_October,2020,October,7.4313,7.7997,0.3684,1,157.234315,157.234315,"(150,160]",2020_October,0.61,Dry,1,100,0.7692307692307693,hydrated,"(155,160]","(150,160]","(140,160]",76.60000000000002,0.9527674141313128,1.57234315,20.171824104234528,17.712165409720722,-0.261,seki
2020_October_ABCO_1.2,1.2,4,"2020_October_HP_ABCO_(140,150]",ABCO,HP,2.738,0,28,75,37,112,12,163,114,1,270,287.3,275.5,40,3.4589,1,2020_October,2020,October,7.4728,7.8501,0.3773,1,140.3123838,140.3123838,"(140,150]",2020_October,0.61,Dry,1,100,0.8333333333333334,hydrated,"(140,145]","(140,150]","(140,160]",17.30000000000001,0.9519369180010446,1.403123838,19.80598992843891,12.492965971241947,-0.261,seki
2020_October_ABCO_1.3,1.3,1,"2020_October_HP_ABCO_(190,200]",ABCO,HP,0.112,0,33,109,12,121,15,70,43,1,248.7,288.8,257.1,NA,4.904,1,2020_October,2020,October,7.4405,8.0189,0.5784,1,191.840796,191.840796,"(190,200]",2020_October,0.61,Dry,1,100,0.6666666666666666,hydrated,"(190,195]","(190,200]","(180,200]",40.10000000000002,0.927870406165434,1.91840796,12.86393499308437,12.527976971421712,-0.112,seki
2020_October_ABCO_1.3,1.3,4,"2020_October_HP_ABCO_(150,160]",ABCO,HP,2.755,"written on side of datasheet: 2.6779 (UPDATE: entered for 1.6-4, since that was missing flam weight and is only likely candidate for the extra flam weight)",36,44,53,97,12,125,60,1,264.3,304.6,282,66,3.6064,1,2020_October,2020,October,12.4549,12.9796,0.5247,1,151.0797581,151.0797581,"(150,160]",2020_October,0.61,Dry,1,100,0.8333333333333334,hydrated,"(150,155]","(150,160]","(140,160]",40.30000000000001,0.9595750254245125,1.5107975809999998,23.73718315227749,14.182116776122257,-0.112,seki
2020_October_ABCO_1.3,1.3,5,"2020_October_HP_ABCO_(140,150]",ABCO,HP,2.61,0,43,77,4,81,18,88,66,1,265.1,333,285.9,80,4.3429,1,2020_October,2020,October,12.3525,12.8518,0.4993,1,148.6011905,148.6011905,"(140,150]",2020_October,0.61,Dry,1,100,0.5555555555555556,hydrated,"(145,150]","(140,150]","(140,160]",67.89999999999998,0.9611494109774504,1.486011905,24.73963548968556,16.19448343069862,-0.112,seki
2020_October_ABCO_1.3,1.3,3,"2020_October_HP_ABCO_(160,170]",ABCO,HP,2.223,0,47,135,0.5,135,10,79,69,1,274.4,294,256.7,NA,5.1845,0,2020_October,2020,October,7.8292,8.8232,0.994,1,165.5562958,165.5562958,"(160,170]",2020_October,0.61,Dry,1,100,1,hydrated,"(165,170]","(160,170]","(160,180]",19.600000000000023,0.8873424607852026,1.655562958,7.876458752515091,13.013647685443166,-0.112,seki
2020_October_ABCO_1.3,1.3,7,"2020_October_HP_ABCO_(130,140]",ABCO,HP,2.961,0,30,88,31,119,24,132,77,1,245,277.5,248.3,50,3.8945,1,2020_October,2020,October,7.516,7.9367,0.4207,1,133.2172261,133.2172261,"(130,140]",2020_October,0.61,Dry,1,100,0.4166666666666667,hydrated,"(130,135]","(130,140]","(120,140]",32.5,0.946993082767397,1.332172261,17.86546232469693,12.344467492563728,-0.112,seki
2020_October_ABCO_1.3,1.3,8,"2020_October_HP_ABCO_(90,100]",ABCO,HP,3.377,0,35,85,0.5,85,26,104,78,1,240.8,265.8,240.8,30,3.6742,0,2020_October,2020,October,12.5391,12.9453,0.4062,1,94.39925633,94.39925633,"(90,100]",2020_October,0.61,Dry,1,100,0.38461538461538464,hydrated,"(90,95]","(90,100]","(80,100]",25,0.968621816412134,0.9439925633,30.86927621861152,15.032460871139522,-0.112,seki
2020_October_ABCO_1.3,1.3,6,"2020_October_HP_ABCO_(130,140]",ABCO,HP,1.821,0,51,119,6,125,12,122,104,1,248.6,270.9,236.9,66,5.312,1,2020_October,2020,October,12.9378,13.762,0.8242,1,131.3047634,131.3047634,"(130,140]",2020_October,0.61,Dry,1,100,0.8333333333333334,hydrated,"(130,135]","(130,140]","(120,140]",22.299999999999983,0.9401104490626362,1.313047634,15.69740354282941,13.736920026664531,-0.112,seki
2020_October_ABCO_1.3,1.3,2,"2020_October_HP_ABCO_(170,180]",ABCO,HP,1.117,0,38,109,0.5,109,24,185,64,1,276.8,289.95,277.9,NA,9.6563,0,2020_October,2020,October,7.6374,8.525,0.8876,1,173.6986301,173.6986301,"(170,180]",2020_October,0.61,Dry,1,100,0.4166666666666667,hydrated,"(170,175]","(170,180]","(160,180]",13.149999999999975,0.8958826979472141,1.736986301,8.60455159981974,13.594600151703522,-0.112,seki
2020_October_ABCO_1.4,1.4,5,"2020_October_HP_ABCO_(130,140]",ABCO,HP,2.662,0,32,31,24,55,10,66,32,1,273.3,295.4,279.4,65,1.9681,1,2020_October,2020,October,12.3278,12.7213,0.3935,1,131.2541694,131.2541694,"(130,140]",2020_October,0.61,Dry,1,100,1,hydrated,"(130,135]","(130,140]","(120,140]",22.09999999999997,0.9690676267362612,1.312541694,31.32858958068615,18.47212497696194,-0.312,seki
2020_October_ABCO_1.4,1.4,8,"2020_October_HP_ABCO_(100,110]",ABCO,HP,3.476,0,37,49,0.5,49,18,54,36,1,247.9,281.4,233.4,50,1.8951,0,2020_October,2020,October,7.3526,7.5094,0.1568,1,100.2557545,100.2557545,"(100,110]",2020_October,0.61,Dry,1,100,0.5555555555555556,hydrated,"(100,105]","(100,110]","(100,120]",33.49999999999997,0.9791195035555436,1.002557545,46.891581632653065,20.3560700079963,-0.312,seki
2020_October_ABCO_1.4,1.4,1,"2020_October_HP_ABCO_(130,140]",ABCO,HP,0.312,0,25,51,3,54,14,56,39,1,276.9,322.2,281.4,NA,3.1525,1,2020_October,2020,October,7.5349,7.9775,0.4426,1,131.374295,131.374295,"(130,140]",2020_October,0.61,Dry,1,100,0.7142857142857143,hydrated,"(130,135]","(130,140]","(120,140]",45.30000000000001,0.9445189595738014,1.31374295,17.02417532760958,17.640421171783487,-0.312,seki
2020_October_ABCO_1.4,1.4,3,"2020_October_HP_ABCO_(150,160]",ABCO,HP,2.437,0,36,65,0.5,65,14,58,44,1,281.1,316.2,279.2,NA,2.8427,0,2020_October,2020,October,7.4749,7.8384,0.3635,1,154.1560645,154.1560645,"(150,160]",2020_October,0.61,Dry,1,100,0.7142857142857143,hydrated,"(150,155]","(150,160]","(140,160]",35.099999999999966,0.953625739946928,1.541560645,20.5636863823934,17.377316743672647,-0.312,seki
2020_October_ABCO_1.4,1.4,2,"2020_October_HP_ABCO_(170,180]",ABCO,HP,1.243,0,42,93,0.5,93,7,62,55,1,268.3,282.1,279.5,NA,2.774,0,2020_October,2020,October,7.6232,8.1974,0.5742,1,174,174,"(170,180]",2020_October,0.61,Dry,1,100,1.4285714285714286,hydrated,"(170,175]","(170,180]","(160,180]",13.800000000000011,0.9299533998584916,1.74,13.276210379658654,15.030319696182426,-0.312,seki
2020_October_ABCO_1.4,1.4,7,"2020_October_HP_ABCO_(110,120]",ABCO,HP,3.109,0,30,57,4,61,8,70,58,1,246.4,292.9,252.3,60,2.2437,1,2020_October,2020,October,7.3786,7.6447,0.2661,1,116.6593599,116.6593599,"(110,120]",2020_October,0.61,Dry,1,92,1.25,hydrated,"(115,120]","(110,120]","(100,120]",46.49999999999997,0.9651915706306328,1.166593599,27.72867343104096,17.21507371411948,-0.312,seki
2020_October_ABCO_1.4,1.4,6,"2020_October_HP_ABCO_(100,110]",ABCO,HP,3.283,0,42,31,23,54,13,113,77,1,248.6,294.2,238.5,NA,2.4937,1,2020_October,2020,October,12.3912,12.6864,0.2952,1,107.1895425,107.1895425,"(100,110]",2020_October,0.61,Dry,1,100,0.7692307692307693,hydrated,"(105,110]","(100,110]","(100,120]",45.599999999999994,0.9767309875141884,1.071895425,41.975609756097555,19.921217482538925,-0.312,seki
2020_October_ABCO_1.4,1.4,4,"2020_October_HP_ABCO_(140,150]",ABCO,HP,2.352,0,27,65,5,70,8,91,78,1,275.2,314.5,287.9,NA,2.3286,1,2020_October,2020,October,12.3406,12.659,0.3184,1,145.9880789,145.9880789,"(140,150]",2020_October,0.61,Dry,1,100,1.25,hydrated,"(145,150]","(140,150]","(140,160]",39.30000000000001,0.9748479342760092,1.459880789,38.758165829145725,15.631572456270224,-0.312,seki
2020_October_ABCO_1.5,1.5,3,"2020_October_HP_ABCO_(170,180]",ABCO,HP,1.083,0,44,77,21,98,13,64,30,1,267.7,283.1,277.4,NA,2.8301,1,2020_October,2020,October,7.4048,7.8922,0.4874,1,177.1719375,177.1719375,"(170,180]",2020_October,0.61,Dry,1,100,0.7692307692307693,hydrated,"(175,180]","(170,180]","(160,180]",15.400000000000034,0.9382428220268112,1.7717193750000002,15.192449733278622,14.822487826607254,-0.179,seki
2020_October_ABCO_1.5,1.5,2,"2020_October_HP_ABCO_(130,140]",ABCO,HP,1.517,0,40,41,38,79,9,78,31,1,275.2,304.3,289.3,NA,3.132,1,2020_October,2020,October,7.4885,7.8323,0.3438,1,132.0783711,132.0783711,"(130,140]",2020_October,0.61,Dry,1,100,1.1111111111111112,hydrated,"(130,135]","(130,140]","(120,140]",29.100000000000023,0.9561048478735492,1.320783711,21.781559045956953,16.11185519862123,-0.179,seki
2020_October_ABCO_1.5,1.5,5,"2020_October_HP_ABCO_(140,150]",ABCO,HP,2.637,0,36,68,0.5,68,17,69,52,1,264.5,328.1,272.9,90,2.9803,1,2020_October,2020,October,12.4827,12.8859,0.4032,1,146.8852459,146.8852459,"(140,150]",2020_October,0.61,Dry,1,100,0.5882352941176471,hydrated,"(145,150]","(140,150]","(140,160]",63.60000000000002,0.9687099853328056,1.468852459,30.95907738095238,16.96985432545048,-0.179,seki
2020_October_ABCO_1.5,1.5,7,"2020_October_HP_ABCO_(120,130]",ABCO,HP,2.94,0,44,113,3,116,10,74,61,1,240.7,307.1,257.8,55,3.3368,1,2020_October,2020,October,7.461,7.777,0.316,1,128.7169043,128.7169043,"(120,130]",2020_October,0.61,Dry,1,100,1,hydrated,"(125,130]","(120,130]","(120,140]",66.40000000000003,0.9593673653079594,1.287169043,23.610759493670887,13.69424945359444,-0.179,seki
2020_October_ABCO_1.5,1.5,4,"2020_October_HP_ABCO_(140,150]",ABCO,HP,2.518,0,36,245,7,81.5,6,77,64,1,235.4,289.95,257.6,NA,2.8105,1,2020_October,2020,October,12.3819,12.7778,0.3959,1,146.7383247,146.7383247,"(140,150]",2020_October,0.61,Dry,1,100,1.6666666666666667,hydrated,"(145,150]","(140,150]","(140,160]",54.54999999999998,0.9690165756233468,1.467383247,31.275322051022982,15.45812540678047,-0.179,seki
2020_October_ABCO_1.5,1.5,6,"2020_October_HP_ABCO_(110,120]",ABCO,HP,3.02,0,44,53,2,55,11,86,73,1,244.1,313.7,257.3,80,2.7915,1,2020_October,2020,October,12.3244,12.6169,0.2925,1,115.021628,115.021628,"(110,120]",2020_October,0.61,Dry,1,92,0.9090909090909092,hydrated,"(115,120]","(110,120]","(100,120]",69.6,0.9768168092003584,1.15021628,42.13470085470086,19.95341879786839,-0.179,seki
2020_October_ABCO_1.5,1.5,1,"2020_October_HP_ABCO_(180,190]",ABCO,HP,0.179,0,38,151,51,81.5,7,148,90,1,279.3,330.6,301.5,NA,2.9658,1,2020_October,2020,October,7.5121,8.0561,0.544,1,181.1521812,181.1521812,"(180,190]",2020_October,0.61,Dry,1,100,1.4285714285714286,hydrated,"(180,185]","(180,190]","(180,200]",51.30000000000001,0.932473529375256,1.811521812,13.809007352941176,15.661771659507655,-0.179,seki
2020_October_ABCO_1.5,1.5,8,"2020_October_HP_ABCO_(110,120]",ABCO,HP,3.224,0,24,18,30,48,14,153,109,1,235.6,301.8,243,65,2.0841,1,2020_October,2020,October,7.3844,7.5861,0.2017,1,113.2509826,113.2509826,"(110,120]",2020_October,0.61,Dry,1,92,0.7142857142857143,hydrated,"(110,115]","(110,120]","(100,120]",66.20000000000002,0.9734118980767456,1.132509826,36.61080813088746,18.637120941109107,-0.179,seki
2020_October_ABCO_1.6,1.6,2,"2020_October_HP_ABCO_(160,170]",ABCO,HP,1.278,0,32,50,62,112,9,104,33,1,270.2,283.2,280,NA,2.2449,1,2020_October,2020,October,7.4608,7.85,0.3892,1,164.9851632,164.9851632,"(160,170]",2020_October,0.61,Dry,1,100,1.1111111111111112,hydrated,"(160,165]","(160,170]","(160,180]",13,0.9504203821656052,1.6498516319999998,19.169578622816033,12.883627761373225,-0.106,seki
2020_October_ABCO_1.6,1.6,3,"2020_October_HP_ABCO_(180,190]",ABCO,HP,2.313,0,39,66,6,72,18,60,36,1,266.1,270.7,260.6,NA,3.0751,1,2020_October,2020,October,7.4807,7.9701,0.4894,1,189.7634742,189.7634742,"(180,190]",2020_October,0.61,Dry,1,100,0.5555555555555556,hydrated,"(185,190]","(180,190]","(180,200]",4.599999999999966,0.9385955006838056,1.897634742,15.285451573355129,16.79455857331957,-0.106,seki
2020_October_ABCO_1.6,1.6,7,"2020_October_HP_ABCO_(100,110]",ABCO,HP,3.661,0,38,34,26,60,14,84,44,1,247.7,261.5,238.3,20,1.6763,1,2020_October,2020,October,7.4983,7.7957,0.2974,1,109.7012173,109.7012173,"(100,110]",2020_October,0.61,Dry,1,100,0.7142857142857143,hydrated,"(105,110]","(100,110]","(100,120]",13.800000000000011,0.9618507638826532,1.097012173,25.212844653665098,18.37021994603372,-0.106,seki
2020_October_ABCO_1.6,1.6,8,"2020_October_HP_ABCO_(110,120]",ABCO,HP,3.452,0,33,33,37,70,16,102,49,1,245.2,297.3,227.5,75,2.1255,1,2020_October,2020,October,7.3956,7.6198,0.2242,1,117.1981181,117.1981181,"(110,120]",2020_October,0.61,Dry,1,92,0.625,hydrated,"(115,120]","(110,120]","(100,120]",52.10000000000002,0.970576655555264,1.171981181,32.986619090098124,16.37103597925886,-0.106,seki
2020_October_ABCO_1.6,1.6,1,"2020_October_HP_ABCO_(140,150]",ABCO,HP,0.106,0,35,49,23,72,6,79,50,1,256.6,260.4,298.9,NA,2.9992,1,2020_October,2020,October,7.5062,7.9587,0.4525,1,143.6964116,143.6964116,"(140,150]",2020_October,0.61,Dry,1,100,1.6666666666666667,hydrated,"(140,145]","(140,150]","(140,160]",3.7999999999999545,0.9431439808008844,1.436964116,16.58828729281768,16.360488149980537,-0.106,seki
2020_October_ABCO_1.6,1.6,6,"2020_October_HP_ABCO_(110,120]",ABCO,HP,3.04,0,38,59,0.5,59,10,70,60,1,243.6,295.8,256.2,70,2.1636,0,2020_October,2020,October,12.4702,12.7509,0.2807,1,115.4194079,115.4194079,"(110,120]",2020_October,0.61,Dry,1,92,1,hydrated,"(115,120]","(110,120]","(100,120]",52.20000000000002,0.9779858676642432,1.154194079,44.42536515853224,18.535836559423508,-0.106,seki
2020_October_ABCO_1.6,1.6,5,"2020_October_HP_ABCO_(230,240]",ABCO,HP,2.907,0,31,31,56,87,10,149,83,1,273.9,293.2,268.5,30,1.77,1,2020_October,2020,October,12.1496,12.349,0.1994,1,235.9763314,235.9763314,"(230,240]",2020_October,0.61,Dry,1,100,1,hydrated,"(235,240]","(230,240]","(220,240]",19.30000000000001,0.9838529435581828,2.359763314,60.9307923771314,14.438853143342651,-0.106,seki
2020_October_ABCO_1.6,1.6,4,"2020_October_HP_ABCO_(150,160]",ABCO,HP,2.485,0,29,45,15,60,11,113,87,1,278.3,284.1,275.8,NA,2.6779,1,2020_October,2020,October,7.6233,8.2925,0.6692,1,159.561278,159.561278,"(150,160]",2020_October,0.61,Dry,1,100,0.9090909090909092,hydrated,"(155,160]","(150,160]","(140,160]",5.800000000000011,0.9193005728067531,1.59561278,11.39166168559474,17.232669835582115,-0.106,seki
2020_October_ABCO_2.1,2.1,2,"2020_October_HP_ABCO_(180,190]",ABCO,HP,0.995,0,42,77,0.5,77,26,52,26,1,278.2,288.9,257.1,NA,2.998,0,2020_October,2020,October,7.5545,8.1138,0.5593,2,180.3030303,180.3030303,"(180,190]",2020_October,0.61,Dry,1,100,0.38461538461538464,hydrated,"(180,185]","(180,190]","(180,200]",10.699999999999989,0.9310680568907296,1.803030303,13.507062399427856,16.52119929643549,-0.155,seki
2020_October_ABCO_2.1,2.1,8,"2020_October_HP_ABCO_(60,70]",ABCO,HP,4.714,0,31,60,0.5,60,14,63,49,1,252.5,269.2,240.8,30,1.4209,0,2020_October,2020,October,7.4978,7.6623,0.1645,2,64.23272159,64.23272159,"(60,70]",2020_October,0.61,Dry,1,100,0.7142857142857143,moderate,"(60,65]","(60,70]","(60,80]",16.69999999999999,0.978531250407841,0.6423272159,45.57933130699088,17.49991587422416,-0.155,seki
2020_October_ABCO_2.1,2.1,3,"2020_October_HP_ABCO_(120,130]",ABCO,HP,1.769,0,31,86,0.5,86,15,68,53,1,257.5,282.4,262.6,NA,2.6605,0,2020_October,2020,October,7.6067,8.0573,0.4506,2,123.9273927,123.9273927,"(120,130]",2020_October,0.61,Dry,1,100,0.6666666666666666,hydrated,"(120,125]","(120,130]","(120,140]",24.899999999999977,0.9440755588100233,1.239273927,16.88126941855304,14.522300049899863,-0.155,seki
2020_October_ABCO_2.1,2.1,7,"2020_October_HP_ABCO_(90,100]",ABCO,HP,3.061,0,40,56,0.5,56,17,82,65,1,249.4,267.1,233.9,20,1.8416,0,2020_October,2020,October,7.3944,7.5933,0.1989,2,93.86503067,93.86503067,"(90,100]",2020_October,0.61,Dry,1,100,0.5882352941176471,hydrated,"(90,95]","(90,100]","(80,100]",17.700000000000017,0.9738058551617872,0.9386503067,37.1764705882353,19.301950845129035,-0.155,seki
2020_October_ABCO_2.1,2.1,5,"2020_October_HP_ABCO_(140,150]",ABCO,HP,2.701,0,33,35,27,62,24,145,94,1,260.8,269,257,40,2.7201,1,2020_October,2020,October,7.3813,7.5785,0.1972,2,144.363104,144.363104,"(140,150]",2020_October,0.61,Dry,1,100,0.4166666666666667,hydrated,"(140,145]","(140,150]","(140,160]",8.199999999999989,0.9739790195949068,1.44363104,37.43052738336714,17.451279964091096,-0.155,seki
2020_October_ABCO_2.1,2.1,4,"2020_October_HP_ABCO_(110,120]",ABCO,HP,2.592,0,35,56,11,67,19,131,101,1,272.1,312.3,268.5,20,2.6418,1,2020_October,2020,October,7.4471,7.6964,0.2493,2,116.1696179,116.1696179,"(110,120]",2020_October,0.61,Dry,1,92,0.5263157894736842,hydrated,"(115,120]","(110,120]","(100,120]",40.19999999999999,0.9676082324203524,1.161696179,29.87204171680706,16.98691611169799,-0.155,seki
2020_October_ABCO_2.1,2.1,1,"2020_October_HP_ABCO_(170,180]",ABCO,HP,0.155,0,43,85,0.5,85,10,114,104,1,256.8,253.3,243.9,NA,2.8984,0,2020_October,2020,October,7.3725,7.7786,0.4061,2,174.6666667,174.6666667,"(170,180]",2020_October,0.61,Dry,1,100,1,hydrated,"(170,175]","(170,180]","(160,180]",-3.5,0.9477926619185972,1.7466666670000002,18.15439546909628,15.806184933397311,-0.155,seki
2020_October_ABCO_2.2,2.2,4,"2020_October_HP_ABCO_(150,160]",ABCO,HP,2.262,0,37,32,31,63,13,108,1,1,256.6,287.5,252.2,90,2.8301,1,2020_October,2020,October,7.5903,8.0322,0.4419,2,158.7854833,158.7854833,"(150,160]",2020_October,0.61,Dry,1,100,0.13157894736842105,hydrated,"(155,160]","(150,160]","(140,160]",30.899999999999977,0.9449839396429373,1.5878548330000002,17.176510522742703,17.78423286805043,-0.164,seki
2020_October_ABCO_2.2,2.2,1,"2020_October_HP_ABCO_(180,190]",ABCO,HP,0.164,0,42,103,0.5,103,13,103,34,1,250.6,352.3,242.3,NA,3.9639,0,2020_October,2020,October,7.4501,7.8751,0.425,2,184.5419019,184.5419019,"(180,190]",2020_October,0.61,Dry,1,100,0.14492753623188406,hydrated,"(180,185]","(180,190]","(180,200]",101.70000000000002,0.9460324313342052,1.845419019,17.529647058823528,14.308275733938656,-0.164,seki
2020_October_ABCO_2.2,2.2,3,"2020_October_HP_ABCO_(150,160]",ABCO,HP,2.225,0,42,97,0.5,97,11,49,38,1,259.5,281.5,259.5,NA,3.0646,0,2020_October,2020,October,7.4047,7.8763,0.4716,2,154.4204322,154.4204322,"(150,160]",2020_October,0.61,Dry,1,100,0.9090909090909092,hydrated,"(150,155]","(150,160]","(140,160]",22,0.9401241699782894,1.544204322,15.701229855810007,14.725676490194646,-0.164,seki
2020_October_ABCO_2.2,2.2,8,"2020_October_HP_ABCO_(90,100]",ABCO,HP,4.498,0,38,56,0.5,56,9,47,38,1,243.5,282.7,240.1,60,1.7048,0,2020_October,2020,October,7.5362,7.7469,0.2107,2,93.35400975,93.35400975,"(90,100]",2020_October,0.61,Dry,1,100,1.1111111111111112,hydrated,"(90,95]","(90,100]","(80,100]",39.19999999999999,0.9728020240354206,0.9335400975,35.76744186046512,19.061699528945823,-0.164,seki
2020_October_ABCO_2.2,2.2,2,"2020_October_HP_ABCO_(180,190]",ABCO,HP,0.7282,0,42,180,4,81.5,6,112,39,1,277.8,306.9,290.4,NA,3.2078,0,2020_October,2020,October,7.4967,8.0833,0.5866,2,180.3813038,180.3813038,"(180,190]",2020_October,0.61,Dry,1,100,1.6666666666666667,hydrated,"(180,185]","(180,190]","(180,200]",29.09999999999997,0.9274306285799117,1.803813038,12.779918172519604,16.050590858789118,-0.164,seki
2020_October_ABCO_2.2,2.2,6,"2020_October_HP_ABCO_(120,130]",ABCO,HP,2.843,0,41,71,0.5,71,9,54,45,1,250.7,316.9,262.9,90,2.3195,0,2020_October,2020,October,12.3013,12.5642,0.2629,2,120.1553931,120.1553931,"(120,130]",2020_October,0.61,Dry,1,100,1.1111111111111112,hydrated,"(120,125]","(120,130]","(120,140]",66.19999999999999,0.9790754683943268,1.201553931,46.79079497907949,17.125637876824765,-0.164,seki
2020_October_ABCO_2.2,2.2,5,"2020_October_HP_ABCO_(150,160]",ABCO,HP,2.4,0,40,66,0.5,66,11,62,51,1,255.1,289.95,243.1,85,3.2972,0,2020_October,2020,October,7.553,8.1044,0.5514,2,157.138786,157.138786,"(150,160]",2020_October,0.61,Dry,1,100,0.9090909090909092,hydrated,"(155,160]","(150,160]","(140,160]",34.849999999999994,0.9319628843591136,1.5713878600000002,13.697859992745736,17.685258783896888,-0.164,seki
2020_October_ABCO_2.2,2.2,7,"2020_October_HP_ABCO_(110,120]",ABCO,HP,3.489,0,44,14,49,63,7,129,73,1,246.6,314.2,263.9,NA,3.037,1,2020_October,2020,October,7.467,7.7654,0.2984,2,114.5489443,114.5489443,"(110,120]",2020_October,0.61,Dry,1,92,1.4285714285714286,hydrated,"(110,115]","(110,120]","(100,120]",67.6,0.9615731320987972,1.145489443,25.023458445040212,18.556300985271793,-0.164,seki
2020_October_ABCO_2.3,2.3,2,"2020_October_HP_ABCO_(160,170]",ABCO,HP,0.798,0,35,87,4,91,9,69,56,1,269.2,265.1,259.3,NA,3.0835,1,2020_October,2020,October,7.4377,7.7774,0.3397,2,161.9933238,161.9933238,"(160,170]",2020_October,0.61,Dry,1,100,1.1111111111111112,hydrated,"(160,165]","(160,170]","(160,180]",-4.099999999999966,0.956322164219405,1.6199332380000002,21.89490727112158,14.532044795054505,-0.192,seki
2020_October_ABCO_2.3,2.3,3,"2020_October_HP_ABCO_(150,160]",ABCO,HP,2.2,0,33,87,1,88,19,80,60,1,249.2,268.6,249.6,NA,2.7558,1,2020_October,2020,October,7.6005,8.1571,0.5566,2,156.744579,156.744579,"(150,160]",2020_October,0.61,Dry,1,100,0.5263157894736842,hydrated,"(155,160]","(150,160]","(140,160]",19.40000000000003,0.9317649654901864,1.5674457899999998,13.655228171038448,14.569285750825992,-0.192,seki
2020_October_ABCO_2.3,2.3,1,"2020_October_HP_ABCO_(180,190]",ABCO,HP,0.192,0,43,103,0.5,103,10,73,63,1,269.5,271.9,242.2,NA,3.8551,0,2020_October,2020,October,7.5425,8.0256,0.4831,2,181.2757974,181.2757974,"(180,190]",2020_October,0.61,Dry,1,100,1,hydrated,"(180,185]","(180,190]","(180,200]",2.3999999999999773,0.9398051236044656,1.812757974,15.612709583937075,14.391668978942544,-0.192,seki
2020_October_ABCO_2.3,2.3,4,"2020_October_HP_ABCO_(130,140]",ABCO,HP,2.759,0,40,107,0.5,107,7,82,75,1,232.8,260,253.3,30,3.0585,0,2020_October,2020,October,7.608,8.1314,0.5234,2,130.751936,130.751936,"(130,140]",2020_October,0.61,Dry,1,100,1.4285714285714286,hydrated,"(130,135]","(130,140]","(120,140]",27.19999999999999,0.935632240450599,1.30751936,14.53572793274742,13.885694219904854,-0.192,seki
2020_October_ABCO_2.3,2.3,8,"2020_October_HP_ABCO_(90,100]",ABCO,HP,4.048,0,34.5,29,53,82,12,152,87,1,238.7,247.1,238.9,66,2.2834,1,2020_October,2020,October,7.6029,7.9659,0.363,2,98.26746075,98.26746075,"(90,100]",2020_October,0.61,Dry,1,100,0.8333333333333334,hydrated,"(95,100]","(90,100]","(80,100]",8.400000000000006,0.9544307611192708,0.9826746075,20.944628099173553,15.253910581554686,-0.192,seki
2020_October_ABCO_2.3,2.3,5,"2020_October_HP_ABCO_(120,130]",ABCO,HP,3.361,0,31,99,0.5,99,9,119,110,1,258.1,345.1,259.6,70,3.8204,0,2020_October,2020,October,12.4401,12.8975,0.4574,2,124.1585233,124.1585233,"(120,130]",2020_October,0.61,Dry,1,100,1.1111111111111112,hydrated,"(120,125]","(120,130]","(120,140]",87,0.964535762744718,1.241585233,27.19742020113686,13.554241093561249,-0.192,seki
2020_October_ABCO_2.3,2.3,6,"2020_October_HP_ABCO_(110,120]",ABCO,HP,3.148,0,43,89,2,91,9,122,111,1,256.4,290.7,240.9,60,3.5674,1,2020_October,2020,October,12.4862,12.8679,0.3817,2,112.1657361,112.1657361,"(110,120]",2020_October,0.61,Dry,1,92,1.1111111111111112,hydrated,"(110,115]","(110,120]","(100,120]",34.30000000000001,0.9703370402318948,1.121657361,32.71207754781242,15.280012331981771,-0.192,seki
2020_October_ABCO_2.4,2.4,5,"2020_October_HP_ABCO_(130,140]",ABCO,HP,2.934,0,23,72,0.5,72,26,70,44,1,250.6,286.3,278.2,50,2.6764,0,2020_October,2020,October,12.3176,12.4931,0.1755,2,137.43148,137.43148,"(130,140]",2020_October,0.61,Dry,1,100,0.38461538461538464,hydrated,"(135,140]","(130,140]","(120,140]",35.70000000000002,0.985952245639593,1.3743147999999998,70.185754985755,14.876361474903948,-0.192,seki
